1492866114000[,,,,,,]$锦龙股份(SZ000712)$排中小板17位
1492754413000[,,,,,,]$锦龙股份(SZ000712)$ 短线诱多的局
1492753692000[,,,,,,]锦龙股份拉升 可惜其它券商不跟
1492753539000[,,,,,,]【锦龙股份 东莞控股】像阳痿的病号， 你说它不行了不行了，它就又勃起一下。 次奥！！ 难道东莞证券又有消息了？//: 【锦龙股份 东莞控股】又开始表现？？
1492753345000[,,,,,,]$锦龙股份(SZ000712)$ 虫虫你想搞事情？啥事说来听听
1492744796000[,,,,,,]$锦龙股份(SZ000712)$ 15%下来了，打压的差不多了吧？！
1492717336000[,,,,,,]$锦龙股份(SZ000712  下跌量没有放大， 恐慌盘没出来， 还要跌。
1492693113000[,,,,,,]$锦龙股份(SZ000712)$锦龙不上则下，概率80:20，已无横着可能，20可能下的是基于未知内容的风险提示，东莞证券已经送了多少公司上市，把自己搞杂的几率多少？0。另，就是不上东莞证券也跑不了，中山证券也在，能坏到几时当前大盘动荡向上的几率几何？99。耐心，耐心，耐心。
1492685773000[,,,,,,]红刊财经 周琳昨日（4月19日），香港特区行政长官梁振英率团考察粤港澳大湾区城市群的广东省城市, 并与广东省长马兴瑞举行了座谈。梁振英率团实地考察，表明粤港澳大湾区从概念到规划落地迈出了关键且实质性的一步。在今年的3月5日，李克强总理在政府工作报告会上强调了要推动粤港澳深化合作，以及提出制定粤港澳大湾区城市圈的发展规划。这同时也是粤港澳大湾区作为国家战略首次出现在了2017年政府工作报告中。4月11日，李克强在中南海会见香港特区信任行政长官林郑月娥时表示，今年中央政府要研究制定粤港澳大湾区发展规划，进一步密切内地与香港的交流合作。总体来看，因大盘目前处在调整阶段，一带一路板块的崛起，粤港澳的蠢蠢欲动，都表明市场或行进在风格切换的路上。粤港澳湾区提升环保行业热度生态环保助力粤港澳大湾区进军国际一流湾区的同时，粤港澳湾区也提升了环保行业的热度。粤港澳大湾区发展方向是国际一流湾区，要建设世界级城市群，打造新型国际化都市圈，优美宜人的城市生态环境是必要，市政园林绿化和生态环境建设将成为粤港澳大湾区规划的一个重要组成部分。同时今年的政府工作报告指出，加大生态环境保护治理力度，环保成为讨论焦点。大气治理、土壤污染防治、PPP等将成为讨论热点。考虑到去年冬季的重度雾霾及2017是大气十条第一阶段的考核年等因素，大气治理有望升级。4月15日，2016年第二批7个中央环境保护督察组（北京、上海、湖北、广东、重庆、陕西、甘肃等7个省）已经全部反馈完毕，环保督察组晒出的账单显示：共立案处罚6310家，拘留265人，问责3121人和2个单位。这彰显中央重拳治霾的决心。2017年是大气治理第一阶段的考核年，这些都将催化大气治理板块及环境监测板块再次升温。有机构建议，可以关注湾区当地环保上市企业以及在该区域内有重要业务布局的环保个股。太平洋证券建议，重点关注的子行业有大气治理、清洁能源、工业节能相关技术以及在土壤修复有布局的公司，建议关注各细分行业龙头，特别是技术创新的平台型公司，推荐三聚环保（300072.SZ）及神雾环保（300156.SZ）。南沙成广州金融未来区域主题将得机会4月18日，“2017广州市金融业推介会”在南沙成功举办。作为广东自贸试验区最大片区、国家级新区、国家自主创新示范区和广州金融的新增长极，南沙充分发挥作为广州与世界接轨的桥头堡作用，抓住“一带一路”、广东自贸试验区、国家自主创新示范区、粤港澳大湾区等战略机遇，按照省委、省政府部署，大力拓展对外开放领域，提高对外开放水平，全力推进南沙成为高水平的国际化城市和国际航运、贸易、金融中心，成为广州的“城市副中心”。南沙金融有望成为广州金融未来，地位可见举足轻重。大湾区建成之后将有力推动区域客货流量。首先，广东将在大湾区建设背景下打造世界级旅游区，计划到2020年，旅游投资总额2000亿人民币，旅游业总收入达到1.6万亿元人民币，实现旅游业对关东国民经济的综合贡献度达到13%。其次，大湾区建设将实现湾区内各城市的互联互通，形成辐射国内外的综合交通体系；第三，大湾区携手构建“一带一路”开放新格局，有利于深入推进粤港澳服务贸易自由化。白云机场、深圳机场作为湾区内重要的航空枢纽，将迎来业务量的快速增长。由此，随着“一带一路”战略和粤港澳大湾区规划的推进，区域主题将会反复、持续受到市场的关注，尤其是广州区域相关个股可以值得留意。联讯证券推荐标的包括，广州港（601228）、白云机场（600004）。东莞证券则推荐保利地产（600048）等。
1492651178000[,,,,,,]$锦龙股份(SZ000712)$达康书记说：我市的绿化面积已经达到95％了沙瑞金书记问：哪个市？达康书记答：股市
1492590090000[,,,,,,]挖贝网讯 4月19日消息，新三板挂牌企业中科纳米（835286）主办券商东莞证券近日发布公告称，在审核中科纳米2016年年报过程中，发现中科纳米净利润有亏损，可能对公司持续经营能力存在影响，故券商提示风险。据了解，中科纳米截止2016年12月31日，财务报表数据显示，中科纳米货币资金为309.11万元，2016年度实现营业收入为5184.56万元，净利润为-1144.78万元。为此，中审亚太会计师事务所（特殊普通合伙）于2017年4月11日出具了带有强调事项段的无保留意见的审计报告。主办券商东莞证券表示，虽然中科纳米披露了提高产品市场售价、降低生产成本、扩大市场占有率及延伸产业链、提高产品附加值等措施。但是，鉴于中科纳米的收入和净利润情况，若存在企业收入持续降低、继续亏损、大额应收账款回收不及时或者无法收回的情形，将会对中科纳米的持续经营能力造成重大影响。据挖贝网了解，中科纳米主营业务是纳米氧化锌的研发、生产和销售。通过对专业技术的研发，形成自身的核心技术优势，研发、生产并销售符合产业导向和市场需求的纳米氧化锌系列产品，从而获取稳定的收入、利润及现金流。
1492586589000[,,,,,,]$锦龙股份(SZ000712)$ 这点多空分歧对我直接无视，想开点，别的很多庄股和创业板的股票都已经腰斩了，锦龙相对最起码比他们强很多甚至强与很多证券股，只是跟东控没有对比性，考虑东控的概念可不止参股一个并且是优业绩成长股。操作方面还是小T尽量滩低成本，消极一点如果东莞重要利空下来挂跌停也得认。反过来看如果过会看锦龙股价反映，我做过几个参股概念的，过会之后才有资金进来，也就是说过会炒作才刚刚开始结合行情。
1492573285000[,,,,,,]$锦龙股份(SZ000712)$ 跌到劳资成本线附近了，没事我已经做好准备利空下来的准备。当然也是等待机会的出现。
1492562836000[,,,,,,]【博主介绍】证券投资顾问,就职于一证券机构，上交所ETF理财规划师；证星十大名博，多家知名网站名博，视频讲师；十年证券投资经历,多年从事投资咨询工作,对主力短线操作手法有所研究。 【直播特色】利用四大指标：MACD,SKDJ,EXPMA,TOW,形成一套较为成熟的操作体系,利用四大指标分析大盘准确率在70%以上。【投资理念】中线操作原则:一,中线操作,高抛低吸;二,不惧调整,坚定持有;三,切勿频繁换股操作!短线操作原则:一,个股分时图 逐步盘升是吸货;二,吸货当日是否逆市,如是为佳;三,大盘背离是买点;个股加速诱空是买点.四,盘中可全仓,收盘八成以下.个人总结,供参考!【股市座右铭】追跌杀涨!! 【热点解读】深交所：推动新三板向创业板转板试点深交所发布总经理工作报告。其中在谈及下一阶段重点任务时表示，要加快创业板改革。推动落实“十三五”规划关于“深化创业板改革”的要求，努力增加创新企业供给，推动新三板向创业板转板试点，把创业板服务对象向产业前端推进，向企业最需要资本市场支持的阶段推进。点评：新三板向创业板转板，是深交所未来一两年的工作重点，其中优秀企业转板可能性大增，无疑是对新三板的刺激，当前新三板上市公司近万家，规模较多，寻求有实力的创投公司介入，广撒网，多捕捞，或能享受到当前的政策红利。创投业仍是暴利行业，一本万利不为过，不妨在这多多研究。【大盘分析】    指数三连跌，且幅度都不小，下跌重灾区在于创小板及银行板块，创小板受制于政策的打压及部分游资资金出逃影响所致，从而引发的恐慌行为，目前有加速释放的可能性，个人觉得低点会很快到来，优质个股可以逢低操作；银行板块大跌，这是在经济持续稳定的情况下产生的，并不是担忧不良贷持续恶化，而是再融资影响所致，以及监管层对银行表外资金的监管趋严，或对银行业绩有所影响，但这举措是长远利于银行的正常发展，脱实入虚本是高风险事件，此时得以控制，理应是长期看好，不需要过多担心。何况当前的估值PE不到7倍，大多破净，何惧之有，安心配置，自有抬轿资金！    资金或会流向仍有估值优势的证券券市场，有哪些因素可以吸引场外资金入场呢？一是养老金在今年逐步启动入市，规模也会逐步增加，此时进场和养老金成本一致；二是银行一年期定存利率2%不到，比市场中很多绩优股的股息率还低，从回报率来讲，后者更有优势；三是证券账号兼据银行存款理财的作用，大多券商都有利于闲余资金理财的货基产品，且随时能进行证券交易，如中山证券货基利率在3到4%水平间，完胜银行定存，且可随时取出。四是市值配售的打新政策，据不完全统计，50万的账号资产，全年有望获得10%以上的打新收益率，无疑是较好的无风险投资方式。这些因素，只要你稍懂一点理财技巧和经济常识，就能识别到，与场外的理财市场一比，我们的大A股市场，还是有那么些投资价值的！    今日操作建议：3200点是国家队重点守护之地，此时略有破位，今日小盘恐慌之后，或是短期低点，个人建议积极参与加仓动作，搏取短线的收益；轻仓者可以加仓，不必短线，此时上仓位风险可控。3180点是本轮行情趋势通道的下轨，支撑会较好，慢牛的成色也会得以考验。主观上就是先进为主，恐慌越多越利于操作！短线操作上选择波动大的股为主，同时远离EXP17的压力位，这样的票反弹空间会较足。笔者看好的小盘板块有化工能源，创投股，环保股，重组股，以及下跌中的券商股。后期策略一，坚定价值投资为主，选择低估的金融，电力，汽车，消费个股进行中长期操作为主，单个板块持仓不宜超过三成仓，同时结合打新策略来实现年化10%以上的稳定收益，股息加打新收益为主。 , , 三，市场中的一些稳定获利性机会，如合并重组套利，封闭式基金，债券，定增折价基金，对于资产量大的朋友较为适用。以上投资方法可供参考，相关个股文章中不便提及，不妨多关注个人直播，会有所提示。
1492532919000[,,,,,,]$锦龙股份(SZ000712)$ 市场资金都被吸到雄安和一带一路题材去了， 公募抛售手中的中小市值股票引起踩踏，000712是其中被错杀的还是主力故意砸盘，拭目以待。。。
1492529792000[,,,,,,]信号已经极差，可以暂时不用看了，真的想看的话，我也可以贴出来：原来，最初的信号（3月9日死叉）其实是有效的。清明后的雄安事件，给我们制造一个假象。我自己基本逃到价投，损失尚能接受，因此也就没有大幅度减仓。接下来，受了某大V的启发，说说大闹天宫：险资、游资、次新，高送转，雄安，五位齐天大圣都被如来收拾得毫无脾气。但是，但是，如来会给我们一个洗涤身心的机会，我们依然能有机会取得正果的，只是，后面的路，我们需要一步一步走，不能用跟斗云。如来指出的一路向西的路径在哪呢，我认为在上证MA120。因此，莫灰心，等待那个大唐高僧。---------------------------------------------------------------------------------周二实盘持仓仍能翻红的票： ， ， ，中国建筑。周二实盘持仓跌幅较深的票：同方股份，天富能源，锦龙股份。---------------------------------------------------------------------------------过往大择时篇：1月13日，《又到了“别人笑我太疯癫，我笑他人看不穿”的时候了》 1月22日，《撸起袖子，迎接500点行情》  ---------------------------------------------------------------------------------醉醉版《私人定制版增强型中证500 II代》，五年全部录得正收益，年化收益50.4%，最大回辙仅23.21%，近三个月收益19.18%，妥妥跑赢中证500。果仁网现已上架，敬请留意：醉醉私人定制“打新类”策略，《果仁网》官方认证，《稳稳的幸福》五年全部录得正收益，年化收益43.91%，最大回辙仅21.53%。当前二八分化严重，打新类策略如虎添翼！敬请留意：
1492519361000[,,,,,,]回复: 中线，均暂无明确趋势。前者，主力依旧在。后者，不上不下。//:回复:: 老大 002110和000712短期要不要逢高离场 2个都被套3个点 大盘这样玩 我不敢玩了
1492507539000[,,,,,,]$锦龙股份(SZ000712)$小龙，你这是肿么了？
1492497311000[,,,,,,]$锦龙股份(SZ000712)$ 继续买入
1492487702000[,,,,,,]$锦龙股份(SZ000712)$ 顶住！
1492475641000[,,,,,,]$锦龙股份(SZ000712)$ 加仓当然是加仓
1492440640000[,,,,,,]$锦龙股份(SZ000712)$涨时个个都感觉自己特别牛，还暗暗后悔买少了，同时话也多了，，一但跌了就不说话了，想都不想去想了，，
1492409898000[,,,,,,]0.458卖出券商b，22.65买入锦龙股份。回避分级新政，继续看好券商！
1492392287000[,,,,,,]$锦龙股份(SZ000712)$股价落后东莞控股一个月呀
1492233744000[,,,,,,]醉醉独家择时图：信号看起来很差，但我的观点基本没变过，和上一篇是一样的：《》。最简单的信心只来源于两点，一为雄安缺口，二为60日均线。下周一，二者刚好位于相近的位置，形成强支撑。当然，肯定有人觉得这个缺口要补上才踏实；也有人觉得641的口风肯定对次新造成打击，从而影响小盘股，再从而影响市场热度；而且还有朝鲜的事仍未明朗，以及各种闪崩的陆续出现，银行委外缺钱，温州帮逃跑等等。这些我都有关注，而且都觉得影响不大：1、打击次新，但市场给了我们雄安、大湾、带路、国企改、军民融合、智能城市、生态城市等题材。2、朝鲜，美国真要打的话，是不会嚷嚷的，炸叙利亚和阿富汗就没嚷嚷过。美国无非是想为下一步的谈判多拿些筹码，然后再把东亚一带的热钱吓回美国，高位接盘，再顺便拖延一下“一带一路”的进程。万一出现黑天鹅，真打起来了呢。长远来看，我还是觉得利大于弊。第一、我们本土受影响的机率微乎其微；第二、中美的利益诉求比较一致，短时间就能结束战争；第三、如果“新朝鲜”是亲华政权，它以后就是中日韩自贸区。哪怕是亲美韩的政权，以后美军再想长期驻兵韩国，恐怕也没目前这样简单了。韩国一直有很大一股想摆脱美国控制的势力存在。以后再难以插手东亚，所以可见，美国其实并不想打。3、闪崩、缺钱？这个最放心，中国大妈从来不缺钱。房价受压，人口老化，大把资金没地方去。如果缺钱，小川哪还需要收紧钱袋子。股市慢牛，就是很好的储水大坝。股市若崩了，资金更容易产生外逃倾向。周五实盘持仓仍能翻红的票： ，湖南黄金，西泵股份。周五实盘持仓跌幅较深的票： ， ，天富能源。---------------------------------------------------------------------------------  过往大择时篇： 1月13日，《又到了“别人笑我太疯癫，我笑他人看不穿”的时候了》  1月22日，《撸起袖子，迎接500点行情》  ---------------------------------------------------------------------------------醉醉版《》，五年全部录得正收益，年化收益50.4%，最大回辙仅23.21%，近三个月收益19.18%，妥妥跑赢中证500。现已上架，敬请留意： 醉醉私人定制“打新类”策略，《》官方认证，《稳稳的幸福》五年全部录得正收益，年化收益43.91%，最大回辙仅21.53%。当前二八分化严重，打新类策略如虎添翼！敬请留意：作者：小醉醉啊来源：雪球著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
1492183680000[,,,,,,]东莞证券你什么时候才能上会啊？？？？？
1492165001000[,,,,,,]$锦龙股份(SZ000712)$周一见
1492151094000[,,,,,,]$锦龙股份(SZ000712)$买入  赶跌敢买
1492146661000[,,,,,,]$锦龙股份(SZ000712)$破位了，赶紧撤吧
1492140177000[,,,,,,]$锦龙股份(SZ000712)$ 只要东莞还没过会 就可以反复做
1492139354000[,,,,,,]$锦龙股份(SZ000712)$ 这是什么坑，黄金坑，还收粪坑？
1492126871000[,,,,,,]$国机通用(SH600444)$青龙管业涨停，作为pvc管龙头的国机通用没有丝毫跟风的意思，全天成交仅1100亿，建筑材料+混改+今年确定高利润。主力已经完全控制了这只股票，只是好像再等什么，莫非想……？$亿利达(SZ002686)$一季度季报不甚理想，细想起来在情理之中，去年有厂房出售的1700余万元，扣非净利润增长20%也是正常的，毕竟铁成信息仅有一个多月并表，而且上半年是铁成信息结款淡季。根据公司投资者交流信息，铁成今年的利润目标是一个亿。我始终不会忘记的是公司收购铁成是用了现金4个亿，铁成才6个亿，市盈率不到10倍，良心企业必有大发展。$锦龙股份(SZ000712)$横盘整理，挺好的走势，未来如果东莞上会会走主升，如果不顺利会会再次寻底，短线是赌博。长线来说，持有东莞证券40股权，中山证券60股权，公司市值200亿出头。按照发展阶段来说，现在正是老百姓投资需求逐渐增长的阶段，证券业是朝阳行业，而且每次牛市启动时证券都是排头兵，个人很看好锦龙，准备不离不弃。
1492097574000[,,,,,,]$锦龙股份(SZ000712)$ 下跌勇敢买， 越跌越买。
