1492744573000[,,,,,,]$中远海控(SH601919)$ 股市一蹦，鬼家队就得拉你吧，再买点。
1492434982000[,,,,,,]作者：孙树冠年报和一季报披露还剩下两周，再丑的媳妇也该出来见见公婆了。最新一季度GDP增长6.9%，超出市场预期。在宏观经济向好的背景之下，A股市场上市公司最新公告进展有何看头？沪深两市一季报、年报披露工作正在有条不紊地推进中，那么最新披露的一季报有何看点？沪深两市已披露年度业绩的上市公司，又有哪些股票值得重点关注呢？已公布一季报公司中近8成净利润同比上涨时报君统计显示，截至4月17日，沪深两市共计有69股发布一季报，从申万一级行业上看，化工有11家上市公司排名第一，电气设备有9家位列第二，医药生物和电子都是7家，并列第三。相较今年以来沪指3.82%的涨幅，电子板块上涨4.8%、电气设备上涨4.82%跑赢沪指，化工上涨0.64%、医药生物上涨1.45%则跑输同期沪指。具体到个股层面，上述69家公司中，有55家净利润为正且同比增长，占比79.71%，其中，有18家净利润过亿元且同比增长。上述18股当中，沪市有5家上市公司在一季报公告的同时，也公布了一季度业绩变动的明细或原因，具体情况如下：万华化学主要看点：公司石化产品今年一季度与去年同期相比价格大幅上涨，这与原油价格同比大幅上涨趋势基本一致。与此同时，MDI市场整体货源偏紧，价格处于高位运行，相比去年同期大幅度上涨。凌钢股份主要看点：报告期内钢铁产品的销量和价格均有大幅上涨。永辉超市主要看点：福建、华西、北京、安徽、河南、东北以及华东六大区域主营收入同比变化情况，除了东北大区下滑主营业务下滑2.96%之外，其他地区主营收入均同比上涨，其中华东地区同比增幅最大，达31.8%。天士力主要看点：公司生物药的收入较上年同期增幅较大，主要系公司开拓市场，普佑克进入地方新农合及地方抢救目录所致。同时公司加大销售折让，故毛利率较上年同期有所下降。滨化股份主要看点：主要产品烧碱价格同比增长68.12%，环氧丙烷同比增长36.33%，三氯乙烯同比增长0.55%。主要原材料方面，原盐同比增长56.26%，原煤同比增长92.91%，丙烯同比增长45.75%。而深市有6家公司一季度扣非净利润增长和净利润增长步调基本一致，显示出主营业务盈利情况向好：净利润同比增长29.49%，扣非净利润增长27.09%；净利润增长31.07%，扣非净利润增长30.53%；净利润同比增长75.09%，扣非净利润同比增78.23%；净利润和扣非净利润增长幅度同为3.23%；净利润同比增1266.40%，扣非净利润同比增1224.18%；则是实现扭亏为盈，今年一季度实现净利润1.17亿元，扣非净利润1.16亿元。不过值得注意的是，创业板市值第一的，虽然一季报实现净利润14.73亿元，但同比下滑52.36%。主要原因是受禽流感和生禽价格波动影响。超七成上市公司年报报喜  10股扣非净利润增幅超10倍时报君统计显示，截至最新，沪深两市有1850家上市公司发布了年报数据，2016年盈利且净利润同比增长的上市公司有1304家，占比70.49%。其中，有10股扣非净利润增幅超10倍。而扣除非经常性损益之后，亏损额度居前的个股有亏损161.74亿元、116.71亿元、亏损70.94、亏损53.92亿元、亏损35.01亿元。更多资讯，请关注证券时报网（ID：wwwstcncom）微信，或下载证券时报APP。 
1492410141000[,,,,,,]$中远海控(SH601919)$ 开始表演了，你不卖是不，我再砸个坑看你卖不。
1492410043000[,,,,,,]$中远海控(SH601919)$ 国家队的羊毛不好剪啊，他会先坑你一下然后拉升，所以留大部队以防快速深跌后加仓。
1492397452000[,,,,,,]$中远海控(SH601919)$ 筒子们不拉对不起党和国家，一带一路加油
1492054203000[,,,,,,]$中远海控(SH601919)$横了近10年盘，30年河东，如今该30年河西了吧！
1492053982000[,,,,,,]$中远海控(SH601919)$BDI指数上涨 因巴拿马型船运价升至逾三年高位57分钟前新华08 / 查看原文波罗的海贸易海运交易所干散货运价指数周三上涨，因巴拿马型船运价升至逾三年高位，海岬型船运价也上升。整体干散货运价指数连续第四日上涨，攀升20点，或1.58%，报1,282点。该指数衡量的是铁矿石、水泥、谷物、煤炭和化肥等资源的运输费用。波罗的海巴拿马型船运价指数触及2014年1月来最高水准，上涨50点，或3.26%，收报1,583点。日均获利升396美元，报12,676美元，为2014年1月来最高。该型船舶的通常运载量为6-7万吨。波罗的海海岬型船运价指数上涨25点，或1.12%，报2,252点。海岬型船舶日均获利升287美元，报16,287美元。该型船舶的通常运载量为15万吨。超灵便型船运价指数升2点，报893点，灵便型船运价指数上涨2点，报554点。
1492049524000[,,,,,,]$中远海控(SH601919)$具2月份高点6.50元还有6%空间，按秃鹰投资讲bdi过了1000点，海运业绩打开巨大增长空间！
1492048755000[,,,,,,]$中远海控(SH601919)$吃相难看
1492046525000[,,,,,,]$中远海控(SH601919)$bdi指数昨日涨了1.58%
1492046248000[,,,,,,]分享 中远海控
1492038267000[,,,,,,]$中远海控(SH601919)$↖(^ω^)↗
1491980855000[,,,,,,]中远海控【BDI指数有望继续上涨 航运股 港口股集锦(附股) - 360新闻】更多精彩尽在360手机浏览器！
1491903118000[,,,,,,]$中远海控(SH601919)$ 俗话说事不过三，周线能否冲破ma120将决定大浪潮是否到来。目前看资金并不支持。这次机会废掉，周线还要走2个轮回等待季度趋势。长远来看，虽然基本面不是特别好，但是趋势图形留下了大浪潮的前奏。拿得住，就能吃大肉。
1491832855000[,,,,,,]$中远海控(01919)$ 2016年第四季度实现息税前利润7.24亿元人民币，2017年首两个月实现息税前利润（EBIT）约4.9亿元人民币，看来2017Q1和2016Q4的业绩基本相同。
1491800995000[,,,,,,]$中远海控(01919)$一季度预计扭亏为盈，发了盈喜。投行大摩竟然说符合预期，目标价3.5。大A股散户就不上当，现在是涨的。AH差价扩大了。。。
1491668759000[,,,,,,]$中远海控(01919)$ 有機會分紅
1491577180000[,,,,,,]目前仓位76%，2017年示范账户+10.39%(新股收益除外)，上证指数+5.9%，10只股票：大地传媒、深成指B、国泰君安、鸿路钢构、七匹狼、国投电力、中远海控、申万宏源、上海凯宝、汤臣倍健，主要在消费、医药、金融行业等；本周操作： 无操作，继续耐心等待属于“我们”的时刻；本周的热点事件就是雄安新区的设立，很多雄安概念股连续三个交易日巨额买单封涨停板，各路资金争相涌入，成交量也非常少，看来还会有几个涨停，会热上一阵子；针对这种事情我们能做什么，需要做些什么？我感觉首先要做的就是冷静，烫手的山芋虽好吃，但不一定就是好事，不小心会被烫着、伤着，疯狂总有冷却的时候，我们会在这个过程中等待，虽然可能比较长时间；第二，还是会从基本面的层面来考虑是否作为观察及买入的标准之一，选择其中一些不错的股票，慢慢放入到我们的篮子里；最后，还是耐心的等待好时机的到来，毕竟大家目前都是在追“预期”，真正哪家企业受益最多，变数还是非常大的，况且经济的建设不是一两年的事情，如果碰巧你做投资也不是一两年的事，那么就耐心等吧，我相信市场会出现那么一天。本周又找了两只股票，东方明珠和民生银行，加上之前的汤臣倍健。下面分别是对其2016年年报财务指标做了一些简单概括，当然买入一只股票也绝不是仅凭财务指标就可以的，需要多方面的考察，像巴菲特说的“因为我把自己当成企业的经营者，所以我能会成为优秀的投资者；因为我把自己当成投资者，所以我能成为优秀的企业经营者”：汤臣倍健：单位（万元），当前市值：1606000； 资产：532800 ，其中负债：62500 ，股东权益：468000 ；流动资产：322951 ，流动负债：60628 ；主营收入： 230900，同比增长：1.90% ，主营利润：63600 ，同比增长：-11.8% ，净利润：53520 ，同比增长：-15.78%；市盈率：30 ，市净率：3.43，市销率：6.95。东方明珠：(4月29日公布年报，经营收入情况截至到9月30日)单位（万元），当前市值：6010000 ；资产：3600000 ，其中负债：791700 ，股东权益：2590000 ；流动资产：2396499，流动负债：753605 ；经营收入：47370000，同比增长：-4.33% ，经营利润：238500 ，同比增长：-27.28% ，净利润：192940，同比增长：-23.59 ；市盈率：20.67，市净率：2.3，市销率：2.84。民生银行：单位（万元），当前市值：31010000； 资产：589590000 ，其中负债：554390000，股东权益：34260000 ；流动资产：，流动负债： ；经营收入：15520000，同比增长：0.51% ，经营利润：6017000 ，同比增长：-0.14% ，净利润：4784300 ，同比增长：3.76% ；市盈率：6.48，市净率：0.93，市销率：2.0。 仅供交流、勿仿 欢迎关注微信公众号：梧桐树投资管理欢迎访问新浪博客：
1491574608000[,,,,,,]$中远海控(SH601919)$6.1跑路，想6块接回来没成交
1491551444000[,,,,,,]1、主要运营指标运输能力和运输量提高；载运率基本稳定，但单位收益指标全线小幅下滑；3、航油成本，同比减少3.38%，受益于油价下降；“航油成本是航空公司最主要的成本支出。国际油价水平大幅波动将对航油价格水平和公司燃油附加费收入产生较大影响，进而影响本公司经营业绩。2016 年，在不考虑燃油附加费等因素调整的情况下，如平均航油价格上升或下降 5%，本公司航油成本将上升或下降约人民币 9.81 亿元。2016 年，公司未开展航油套期保值业务。2016 年，公司把握国际油价相对低位运行带来的机遇，积极增加运力投入、优化生产组织，实现了良好的经营业绩。公司未来将积极研判油价走势，根据董事会授权，谨慎开展航油套期保值业务。”4、财务费用，同比减少12.05%，受益于汇兑损失减少。外币负债主要以美元负债为主，在美元兑人民币汇率大幅波动情况下，美元负债将因此产生较大金额的汇兑损益，直接影响公司当期利润，对公司经营业绩造成较大影响。截至 2016 年 12 月 31 日，如美元兑人民币升值或贬值 1%，其他因素不变，则本公司净利润及其他综合收益受到的影响为+/-1.6亿左右。                2016 年，公司拓宽融资渠道，通过发行超短期融资券、人民币贷款等方式开展人民币融资，积极优化公司债务币种结构。截至 2016 年 12 月 31 日，美元债务占公司带息债务比重降至 44.89%。未来，公司将进一步加强对汇率市场的研判，拓宽人民币等各类融资工具，持续优化公司债务币种结构，降低汇率波动对公司经营的不利影响。5、利率变动风险本公司主要负债是由于引进飞机、发动机及航材等所产生的美元负债和人民币负债。美元利率以及人民币利率变化可能造成公司现有浮动利率贷款成本和未来融资成本变动，从而影响公司财务费用。截至 2016 年 12 月 31 日，在其他变量保持稳定的前提下，如利率上升或下降 25 个基点，则本公司净利润及其他综合收益受到的影响如下：未来公司拟通过开展衍生品交易，进一步优化公司美元债务中浮动利率债务比例；同时把握人民币利率走势，降低人民币融资成本。【公司肯定希望利率不要上升】6、对外投资：中国民航信息网78.67%股份，浦发银行20.61%股份；7、股份变动情况：2016 年 6 月 30 日，公司完成向携程下属全资子公司上海励程信息技术咨询有限公司、中国航空油料集团公司、中国远洋海运集团有限公司和财通基金管理有限公司发行 1,327,406,822 股 A 股股票，发行价格为人民币 6.44 元/股。8、发行债券情况：16年东航01、02票面年利率分别为3.03%、3.30%；2016年底，资产负债率由80.76%降低到76.15%； 总体来看，业务方面，航空业处于景气上升周期，航空出行比例增加；业绩稳定主要是油价低位徘徊，受益于成本端的有利变动；但另一方面，人民币贬值是长期风险点，汇兑损失（财务费用）金额可能超预期；利率上升风险，还有暴恐风险等，都会造成对其估值下降，目前股价来看，港股有一定配置机会。【非投资建议，仅供个人跟踪个股的记录，以及交流之用】
1491550894000[,,,,,,]$白银有色(SH601212)$ 不能赌，还是买稳稳的幸福，下周一逢高跑路买回中远海控
1491533355000[,,,,,,]小书童爱买中海远发，这个系列也有几个票，看看走势的快慢，从走得快的票能不能看到落后的兄弟会怎么走？宁波海运、中远海特、中远海控、招商轮船、中远海发。顺便还可以看看上海票界龙实业和中路股份前些日子几个板，现在掉下来，在干嘛，均线怎么样了？再看看绿地控股8月和11月的两次脉动和均线之间的关系。什么时候均线能走好？
1491532034000[,,,,,,]$中远海控(SH601919)$ 我又干了蠢事
1491526550000[,,,,,,]//:年报披露的伊之密，安琪酵母，中远海控，金隅股份，哪个超预期？
1491525829000[,,,,,,]各位很忙，我很闲，水平低，只能勤奋点，来点数据。股灾3之后从最低点到最高点的中字头大烂臭涨幅，排名没先后，也没用处，只供看看：1、中国建筑：142%2、中国电建：64%3、中铁工业：91%4、中国铁建：67%5、中国中冶：68%6、中国电建：64%7、中国中铁：69%8、中国交建：100%9、中国化学：84%10、中车：42%11、中国西电：41%12、中国联通：118%13、中国重工：44%14、中国船舶：53%15、中国远洋：33%16、中国神华：63%17、中国石油：27%18、中国石化：50%
1491522496000[,,,,,,]年报披露的伊之密，安琪酵母，中远海控，金隅股份，哪个超预期？
1491482609000[,,,,,,]$中远海控(SH601919)$明天高开吧，，，阿米豆腐，，，
1491388215000[,,,,,,]保留了中远海控//:回复:4月份操作卖出一半中运海发
1491383543000[,,,,,,]$中远海控(SH601919)$港股还是弱
1491359410000[,,,,,,]$中远海控(SH601919)$ 4月5日10:30入选#短线黑马#策略，推送时涨幅3.21%，成交量放量，均线呈多头排列进攻形态。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/29
1491359090000[,,,,,,]雄安概念股有四类，第一是基建类，河北宣工，冀东水泥。第二是地产增值类公司，金隅股份，京汉股份，巨力索具。第三是环保类公司，东方园林，先河环保，铁汉生态。第四是与一带一路交叉类公司，中远海控，天津港。对这个新区，不会昙花一现的，利好的释放也是长期的，不要认为是个小概念。
1491357970000[,,,,,,]首发于公众号：liang1120211 很多小伙伴都还记得老梁在3.23日精准的判断顶部的事情吧，肯定有很伙伴很疑惑，老梁你是怎么判断的，今天老梁就把干货一口气都倒给大家。1.       量价配合不合理，上涨缩量，下跌放量。   这是次新股指数的k线图   这是399106深综指的k线图是不是都是一样的，个股由于主力运作的原因会出现量与价的不合理配合，因为当主力高度控盘的时候，那是想咋玩咋玩，但是指数不行，没有人能控制，所以量价在指数上的药应用更有效。2.出现大量无风险的捡钱机会，最简单的策略就是开板就买，买到最起码赚10%市场进入3月份以后，随着次新的疯狂，只要是开板的新股，不管基本面怎么样，只要开板无脑买都赚钱，起步赚20%像这个重庆建工，开板买入30%的收益。市场这种疯狂行为的演绎最极致的是白银有色，这位朋友在开板前由于涨的多，已经被证监会特停过一次了，但是开板后还是一路上拉，一口气涨了70%，小伙伴会问为什么最疯狂的会是白银有色那？开动脑筋想一想，因为最便宜啊，比起那高高在上的吉比特，白银有色简直是最便宜的赌场门票，人人可玩，10块钱，买不了吃亏买不了上当，这里没有市盈率，只有市胆率。3.成交量全在次新股，其他题材概念全面熄火。可以看到在3.17日次新的成交量创了历史新高，1100亿，而同期的上证指数成交量只有2000多亿，两市最疯狂的资金全在次新股了 ，什么一带一路全面熄火，大家都在次新疯狂赚钱，获利盘巨大，就像山上石头摇摇欲坠。只要一个人跑，其他人一起跑，石头就落下了。4.次新板块指数在创新高，但是大单净流量为负值。就是俗话说的，主力在跑路看这张图，同花顺的指数885598，指数在经过调整后，迭创新高，但是看下边的大单净额，天天都处于流出状态。也就是说主力跑了。5.竟然有人要抢茅台的皇位 在A股，可预见的时间内，茅台应该是前无古人后无来者，A股的王位只能有一个人，那就是茅台，历史上只要有人妄图抢班夺权，抢茅台的王位的，基本都是市场的顶点，不相信的去翻翻中国远洋，安硕信息的例子，他们坟头的草都一尺高了，而现在出了一个吉比特竟然想抢茅台的位置，并且在盘中一度超过了茅台的价格，就是这天3.17号，本质上是一旦有人抢茅台的位置的时候基本代表着泡沫已经到了一个顶点了。给大家这五招，以后判断顶部应该是没有问题了。
1491320257000[,,,,,,]宏观经济三大谜团：1、海运什么时候复苏。 2、农业什么时候复苏。 3、房价什么时候下跌。 
1491311808000[,,,,,,]建设银行2016年应该来说是非常稳健的一年，其超高的核心资产充足率、较高的ROE和ROA、较好的资产配置和资产质量都是其优点，但我们也看到利差下行很厉害，整体盈利也缺乏增长，营业收入拨备前利润都处于停滞，同时拨备方面相对其他银行有点特殊，我们需要继续关注其未来的发展。目前估值还是非常便宜，依然具有非常好的投资价值。此文首发个人云蒙投资微.信.公众号，欢迎朋友们在v信搜索云蒙投资。宣扬价值投资理念，分享银行研究成果，广交天下投资朋友，一起坚守共同发财。下面分项进行解读：一、关于规模指标2016年建设银行为2315亿，同比增长1.45%，与三季度1.17%这个数据基本持平。为209637亿元，同比增长了14.25%，三季度同比数为11.89%。归属普通股在剔除分红后为15568亿元，同比增长10.07%，低于三季报同比增速的12.93%。为119378亿元，同比增长11.34%。为6051亿元，同比负增长0.02%，三季报这个数值为3.33%。拨备前利润为3884亿元，同比负增长0.95%，三季度这个值为0.61%。 建设银行总资产规模增长为14%，贷款同比是增长了12%。连客户存款都增加了13%的样子，这个速度在银行业中还是相对较快的，尤其是存款增速很不错。风险加权资产同比增长了11.34%，考虑到四季度监管方面的因素，这个数值略低于全年总资产增速，说明在资产配置方面还是很稳健。同时我们看到风险加权资产增速和核心一级资本净额增速大体差不多，如果考虑其他综合收益亏了160亿这个因素，那么建设银行在30%分红情况下是实现了内生性增长的，如果剔除这个一次性的因素，建设银行完全是可以40%以上分红的。不管是净利润、营业收入，还是拨备前利润，这些值基本上和上年度持平。净资产、总资产的增长都被净资产收益率、总资产收益率这些盈利能力指标拉下来了，这就是银行业最牛的地方，盈利能力指标下降，但总规模的没有天花板可以让其维持较好的总利润，这和中石油、中国远洋、中国神华等其他周期性行业完全没有可比性。其他综合权益损失160亿大约相当于1%吧，年底股东权益增长了10%，加上2016年分红时股息率接近7%，这样的话剔除一次性损失长期投资者复利增长全年是有17%的。 二、关于监管指标2016年建设银行核心资本充足率为12.98%，同比下降15个基点，环比下降了49个基点；拨贷比为2.29%，同比下滑10个基点。拨备覆盖率为150.4%。 建设银行在全年12%总资产增速的情况下，在160亿其他综合收益损失的情况下，通过30%的分红核心资本充足率只下降了15个基点，如果剔除这160亿的其他综合收益，其核心资本充足率是会超过13.5%的。建设银行在资产配置方面一直很稳健，按揭贷款占比非常高，2017年如果总资产没有两位数的增长，核心资本充足率还会大幅攀升，其实建设银行是所有上市银行中最有条件提高分红比例的，可惜2017年依然只有30%的分红比例，但其率先高分红还是值得期待的。很多银行拨备总额非常大，一般占到股东权益的20-30%的样子，所以这两个指标不需要太去关注，比如核销多一点，拨贷比下降覆盖率上升，核销少一点拨贷比就会上升覆盖率就会下降。但建设银行不一样，两个值都很低说明建设银行的拨备总额相对就少，我们也发现建设银行拨备相对股东权益相比其他银行要少10个点的样子，这10个点的总额差不多就是全年利润了，所以他的两个约束指标就受到很大限制，再加上贷款的增加，而这个拨备总额并没有增加，导致拨贷比没有达标。从某种意义上来说，建设银行的拨备是不足的，最起码相对其他银行来说是不足的，但拨备足不足不仅仅看比例，关键还是看资产质量，建设银行资产质量确实比较好，当然我们看到有些城商行资产质量也很好但这两个值还是很高的。也许建设银行有这个信心控制资产质量，但如果和别家资产质量一样的话，那么建设银行的股东权益就要打折，需要我们密切关注其资产质量的变化。 三、关于盈利能力指标2016年建设银行总资产收益率为1.18%，同比下滑下降12个基点；加权净资产收益率为15.44%，同比下滑了183个基点；净利差为2.06%，同比下降40个基点。非息收入占比30.95%，去年为24.26%，增加了669个基点。成本收入比为27.49%，2015年为26.98%。 建设银行一直以来列在一流盈利能力银行里面，就是其强劲的ROE和ROA，当然虽然下降幅度不小，但依然在上市银行中处于很高的一个水平。2.06%的利差总体是偏弱的，下降40个基点还是比较多的，看2015年的降息影响还是蛮大的，建设银行按揭贷款占比高，而按揭贷款是无法议价的。所以我们看到财报中利息收入同比下降了9%的样子，这也是ROE、ROA下降的重要原因。为什么我一直超级看好银行业，一方面就是周期性利差息差下降20%，但总规模增加10%，再加上非息收入增速，基本上就能稳定了，还还是正常的增长，而不是中小银行那样拼命垒规模；而一旦进入景气周期，货币规模稳健增长，银行利差扩大盈利能力增强，坏账趋稳拨备趋稳，那么就会迎来一次业绩的大反弹。整个银行业非息收入这些年一直在快速增长，建设银行2016年非息收入增长了27%，利息收入的9%负增长完全靠非息收入增长拉起来了。27.49%的成本收入比一直很稳定，长年在28%左右。 四、关于不良系列及调节指标2016年建设银行932亿元，和2015年936亿基本持平，是全年净利润的40%。余额为1787亿，同比增长了7.66%，不良贷款率为1.52%。为3371亿，同比增长11.28%，是不良贷款的189%；为562亿，同比下降20%；为1219亿，同比增长了19%，为不良贷款的68%；为50亿。 全年不良贷款增加了8%，关注贷款增加了11%多，90天内下降20%，90天以上逾期贷款增加20%，这些数据还是不错的，尤其是不良率的同比下降和90天内逾期贷款的减少让人看到拐点出现的曙光。我们看到逾期90天以上贷款是不良贷款的68%，全国股份制银行中最优秀的招商银行这个值是81%，很多银行这个值是150%多；关注贷款是不良贷的189%，这个值还是比较高的，招商银行这个值是115%，总体和同行比资产认定还是比较严格的，但奇怪的是逾期贷款和关注贷款相差太大，可能存在口径相差较大的问题，很多东西横向比较可能不是很恰当，还需要考虑历史数据纵向比较。在拨备总额方面，在不良增长增量127亿、关注贷款增加342亿的情况下，拨备总额只增加了181亿，也就是说，建设银行其实相对2015年拨备情况是略有下降的。此外，重组贷款非常少，这个也是不错的。 五、关于股东权益指标2016年建设银行每股净利润0.92元，每股净资产6.227元，去年分红为0.274元，2017年将分红0.278元。按照云蒙内涵价值盲评法， 2016年每股股东权益增加了0.82元，拨备相对的减少80多亿加上综合收益损失160亿，内涵股东权益增量比每股净利润少0.1元的样子，建设银行内涵价值为6.42元，高于每股净资产是由于拨备相对系列非正常资产还有盈余。 4月3日，建设银行A股收盘股价为5.94元，市盈率6.46倍，市净率为0.95倍，2017年股息率为4.68%；建设银行H股收盘股价为6.32港币，折合人民币5.59元，市盈率6.08倍，市净率为0.90倍，2017年股息率为4.97%。建设银行盈利能力虽然在下降，但总体在上市银行中还是很不错的，目前估值还是很好的，具有非常好的投资价值。 
1491292451000[,,,,,,]$中远海控(01919)$ 根据Xeneta的资料，东亚至南美洲东岸的40英尺货柜航运费率已经从12个月前的500美元狂飙至3,285美元。
1491290553000[,,,,,,]//: 我参与的是   ，  
1491280744000[,,,,,,]白。。//:我参与的是  ，  
1491280529000[,,,,,,]//@老布:回复@邻水樵夫:我参与的是 $中远海特(SH600428)$ ， $中远海控(SH601919)$$中远海发(SH601866)$
1491276855000[,,,,,,]//:我参与的是  ，  
