1492869719000[,,,,,,]  数据来源：Wind 资讯，截至4月21日   
1492672292000[,,,,,,]$信维通信(SZ300136)$ 我就想不明白，为什么立讯精密这么强，却这么默默无闻，没人去跪舔，信维通信从去年收盘价28.5起步，涨了这么一点，却这么多人跑来吹捧？
1492670281000[,,,,,,]$立讯精密(SZ002475)$ 这可大大超过刘主席30~35倍市盈率区间啊
1492665604000[,,,,,,]今天立讯精密天坛三环创新高，在不久将来康得新也会创新高的
1492663818000[,,,,,,]//: 年度推荐主轴超声电子、太极实业、长电科技，一直没变。其他本周推荐则包括：安洁科技、宏发股份、东山精密、蓝思科技、长信科技、立讯精密、胜宏科技、信维通信、欧菲光、德赛电池。另外，在短期内华天科技也值得投机一把。
1492662015000[,,,,,,]$超声电子(SZ000823)$$安洁科技(SZ002635)$$立讯精密(SZ002475)$
1492607021000[,,,,,,]$立讯精密(SZ002475)$ 又10转5，有条不紊的推动资本运作。
1492510775000[,,,,,,]$立讯精密(SZ002475)$ 市场消息：苹果最快准备秋季推出3款iPhone；苹果计划升级现有的两款iPhone，并准备推出一款外观作出大幅调整的新iPhone。
1492484039000[,,,,,,]$立讯精密(SZ002475)$ 这几天行情感觉和整个苹果产业链不搭，请哪位大侠指点指点！
1492436579000[,,,,,,]$立讯精密(SZ002475)$ 这走势怎么有一种要黑天鹅的感觉，和隔壁的歌尔股份一样，今天很多苹果产业链公司都反弹了呢。还是说声学有竞争所以投资者干脆两边都放弃了？
1491811568000[,,,,,,]$立讯精密(SZ002475)$走势开始独立了……
1491478438000[,,,,,,]感觉acc，立讯精密和信维通信在声学和天线领域的互相渗透，价格战不可避免啊，信维通信30多的毛利似乎很难保持。
1491457718000[,,,,,,]我的压舱石60日新高 
1491401738000[,,,,,,]无疑，跟预期的一样大肉不是普通人能想的。偶尔遗漏的小肉，打开的涨停板你不敢去，打不开的你又买不到，反正上午就是这个节奏。下图综述：图一--------------------------------------雄安的就自己看新闻联播吧，我是没心思去看近百个涨停板了，可以继续看看PPP和管廊建设方向的发散。PPP可以跳转三个潜在的方向（点击可跳转）今天强势的锂电池倒是让人眼前一亮。锂电板块细分的话，就是矿、三元材料“钴”、铜箔、通过收购进入锂电行业的公司。锂电靠的是在疯炒之后，业绩兑现出来的再次拉升，这个过程里面必然是业绩优秀的逐步继续太高，随着财报一个个的披露，业绩差的就慢慢逐步被证伪了。后续回调可以继续关注。在这其中，钴价经过年后一段快速上行之后企稳，但是并没有什么回落，如果后续锂电的的钴需求再度放大，钴价再度上行预期对于洛阳钼业、华友钴业、格林美等公司会产生比较正面的助推作用。这里有一个节点需要关注，就是1季报的数据如果超过了前面券商的一致性预期数据，那么后市就值得期待了。数据对比(2017年1月5号到3月1日)钴价这个期间的报价上涨了45%，而同期华友姑爷的涨幅75%。所以对应的来看，如果这里股价企稳，在稍微有任何价钱上的刺激有望再度重回升势，当然如果参与一定要考量到大盘的环境和位置。对于相关的概念股，切忌追高。--------------------------苹果产业链苹果的技术细节太多，我也没有庖丁解牛的能力，但是我大概的记录一下个人的感受。苹果产业链上下的受益公司分两个方向，一个是直接供货。在一个就是由于对行业的变革，导致其他手机厂商的模仿助推了一项技术以及产品的应用，这个继续发散的话可以扩招到影响力扩大的华为、OPPO+VIVO等等的公司上。另外一条价值上的逻辑就是，由于苹果的连续增长，顺带产业链上的公司也是保持了多年的连续增长。受益于苹果，他们在A股市场也成长成为一批业绩优秀的价值白马股，前面写过一篇文章就是所谓的白马行情。在白马行情之下，预期受益于新产品的发布，相关的上市公司能继续保持增长。当然现在说这个或许晚，或许不晚。晚在于像安洁科技、立讯精密这样的已经是走出了30%以上的涨幅。下图是直接问股搜索的，我比较关注的是---------------------------------其他：上面两个是天风证券赵晓光点的次新，今天在市场情绪较好的时候，全部有比较暴力的反弹，盘中的振幅也比较大。加了一个万丰奥威是因为新坐标+万丰奥威都是汽车轻量化的标的，但是万丰奥威短期涨幅过大，以及新区资金吸血，今天又比较大的回落，后续可继续关注企稳的机会。   
1491375167000[,,,,,,]$立讯精密(SZ002475)$ 今天走势甩多少人下车了？
1491358876000[,,,,,,]文   |   君临上次讲了打工妹创立的，以及这家公司带给投资者的九倍股财富传奇，今天我们扒一扒另一位深圳打工妹创立的，以及这只股票带给投资者的郁闷史。同样是深圳的打工妹创造的财富传奇，比立讯精密更为耀眼，但是这份耀眼仅仅属于大股东周群飞本人。作为上市当年的中国女首富，周群飞成了几乎所有媒体的头条，享受鲜花与掌声，但是跟进买入的投资者们，大多却被套在坑里，至今没有离场的机会。是什么原因造成了两者之间的巨大投资机会差异？低迷多年，这家公司到底有没有凤凰涅槃的潜力？今天，君临为你好好剖析一番。1蓝思科技，创始人叫周群飞，湖南人，16岁南下到深圳打工。那是1987年，打工的地方是一家手表玻璃厂，叫澳亚光学（并不是网上传言的伯恩光学）。和立讯精密的王来春经历相似，周群飞也是从生产线做起，不过比起前者，周显得更有独立意识。第一，周群飞为了学习技术，每天的工作时间都到凌晨12点以后，在这个过程中，自学掌握了丝网印刷技术，典型工作狂。第二，澳亚光学曾经搞了一个项目，半路犹豫要撤资，周群飞主动找到老板，请缨上阵，“成了，工资随你定；失败了，我给你打一辈子工。”相当有魄力。当然，这项目最终是做成了，周群飞也在后来和澳亚光学的老板杨达成结了婚。据澎湃新闻的调查报道，结婚已经是周群飞创业以后的事情了，后来杨的事业失败，两人也离了婚，都是后话了。第三，打工7年后，也就是22岁的时候，周群飞选择了辞职创业。一个女孩子，背井离乡，20出头就选择独立打拼，不简单。一句话总结，周群飞这个打工妹，是个勤学、苦干、敢闯敢拼的人，完全不让须眉。这决定了蓝思科技的商业之路，和立讯精密会有着天壤之别。2创业之初，蓝思科技就是一个由“姐姐、姐夫、哥哥、嫂子、三个堂姐妹”组成的手表玻璃丝网印刷作坊。从最低层做起，慢慢做大，期间的艰辛，不为人知。在一次采访中，周群飞说：“这20多年，我不是一路直上的，经过了许多坎坷，在我的创业过程中，我两次把我的房子都卖掉了，给我的员工发工资。”但是，每一个成功的创业者都是在死人坑里摸爬滚打出来的。作为投资者，君临并不关心鸡汤，关心的是哪些关键的能力，让她在千万人里成功的脱颖而出，这种能力会在未来的事业中继续起到关键的作用吗？如果继续做手表玻璃加工生意，周群飞肯定不可能获得后来的成功。转折点发生在2001年，周群飞经朋友的介绍，获得了手机的屏幕玻璃订单。第二次飞跃发生在2003年，推出V3手机，但日本供货商出现质量问题，转而与蓝思科技合作。周群飞领导研发团队连夜攻关，摩托罗拉在全球卖了1亿多部，蓝思科技赚了多少，大家可以算算。过了这道关之后，几乎所有的手机品牌都和蓝思科技建立起了合作关系。直至后来的苹果，一切都是顺理成章，当然，苹果带给蓝思的飞跃在于，更大的屏幕、更不易碎、更轻薄的要求，32007年，蓝思科技和达成合作，正式搭上了智能手机产业链的超级风口。为了这个里程碑式的合作，蓝思在老家湖南建起了一个规模庞大的生产基地。这个基地每年的出口额如今已经超过了三一重工，成为湖南最大的出口企业。工厂内生产线24小时运转，7.5万名工人三班倒，每天从美国、日本旭硝子运来玻璃，然后经过切割、研磨、打孔、抛光之后，进入离子钾盐槽内，经过强化、印染、形成曲面。最后，它们还要经过清洗，贴上防污、防反射的薄膜，交给下游的手机代工厂。这个合作带给蓝思的财富是不言而喻的，，持有发行后蓝思科技75%股份的周群飞夫妇也迅速成为中国最显赫的富豪家族。但在光环笼罩之下的蓝思，显然是被高估了，没办法，牛市高潮、苹果产业链、中国女首富、小三上位史的流言蜚语、深圳打工妹的传奇，诸多的因素纠缠在一起，让蓝思科技的名字变得街知巷闻，股价也冲上了云霄！所谓人多的地方不去，炒糊的股票不接。既然接了，就要耐得住寂寞，甘愿做女首富背后默默支持的男人。只要女首富真的有能耐，假以时日，一定不会辜负鼎力支持她的投资者。漫长的守望啊，何时才能解套呢？4要解套，唯有以快速的业绩成长消解高昂的估值。那么，蓝思的业绩，在未来几年，有可能一如既往的高速增长么？答案在过去。我们看招股说明书。营收增速，2012年，蓝思的这个数字是85%，但在接下来的几年，步步放缓，2013年是19%，2014年是8.5%。再看利润增速，2012年，这个数字是61%，后来也变得不再美妙了，2013年是22%，2014年是-51%，利润从前一年的24亿元大跌至11亿元。也就是说，早在上市之前，蓝思的失速风险就已经明明白白的暴露在投资者眼前了，然而狂热的投资者们还是一窝蜂的冲了进来。那么风险在哪里呢？蓝思的招股说明书里，也写的清清楚楚，其中最重要的三条就是——a，客户高度集中的风险。b，消费电子市场需求变化快的风险。c，毛利率下降的风险。首先是第一点，客户集中的风险。从2012年到2014年，。基本上是被这俩土豪包养了的节奏。没办法，在中高端智能手机市场里，那几年，确实也就只有这两个客户了，不是苹果就是三星，不然你还能买谁家的货？然后是第二点，消费电子变化快。手机倒不会那么快消失，对于蓝思来说，最大的苦恼就是，手机市场很快就饱和了，未来的增长在哪里？手表，汽车屏，VR眼镜，可是一时半会好像都还起不来？还有毛利率下降的风险。2012年和2013年，蓝思的毛利率都维持在31%左右，在代工制造企业里已经是相当难得。但在2014年，究竟发生了什么呢？原来，上游客户传来消息说，苹果要布局做蓝宝石屏幕，为了保持和大客户一致的脚步，周群飞女士一咬牙，就，购买了昂贵的设备，导致营业成本大幅攀升。可是，可是坑爹的苹果，竟然反悔了，蓝宝石屏幕胎死腹中！可恶的苹果啊！5三大风险，次第呈现，给投资者们敲响了一记重重的警钟。漫长的守望啊，真的看不到边界么？在前面的三大风险中，其实第一、第二点，都不是多大的问题，真正影响股价变动的，是第三点。为什么这么说呢？答案藏在财报和过去的历史里。2015年，蓝思的业绩重新恢复了正增长，虽然还不够快。主要的原因，就是受益于苹果推出的大屏手机，屏幕更大，玻璃的需求自然也更多。2016年前三季度，营收和利润双双大幅下滑，主要的问题当然还是来自大客户，苹果和三星的日子都不好过，被国产品牌逐出了全球最大的手机市场。手机市场的格局确实瞬息万变，唯苹果、三星马首是瞻确实也风险很大，但从周群飞过去的历史看来，这是一个经历过千难万险的女子，什么样的场面没见过。房子都抵押过两次，才让蓝思从一处小作坊，一个一个的挤掉竞争对手，实现大客户从TCL、摩托罗拉，到苹果的三级跳。从低处往高处攀爬难，从高处往低处走容易，苹果、三星即使不行了，蓝思要拿下其他的新客户也并不是难事。起码从技术和竞争力来说，蓝思是业界顶尖的。智能手机的销量已经饱和了，大屏化也已经到了极限，但新产品总会出来，屏幕越来越多，变得无处不在，是我们这个时代的大趋势。只要趋势不变，蓝思的机会总是存在。这其实已经是蓝思最坏的时候了，庞大的蓝宝石设备投资还在消化之中，大在2015年的财报中，有这么一段话——“ 蓝宝石具有高耐磨性、防划痕、高光学性能、微波透过性能等特点。公司自2011年进入蓝宝石领域，根据公司创始人董事长周群飞女士及研发团队对消费电子产品防护面板及盖板行业发展趋势和蓝宝石前景的研判，在蓝宝石领域投入了大量的财力、人力、物力资源。经过几年的吸收、研发、创新与积累，现公司目前，公司生产的蓝宝石摄像头保护镜片、按键保护镜片等产品已经成功运用到消费电子产品中。但未来蓝宝石能否在消费电子产品更大面积地应用，一方面取决于公司能否有效提升产品良率、降低生产加工成本、扩大产能保证大批量供给；另一方面也取决于下游消费电子厂商的产品设计、宏观经济景气程度以及消费者的支付意愿等因素。如果蓝宝石行业最终实现了大规模应用，那么公司有望凭借技术和规模优势，享受巨大的市场份额和利润，对公司生产经营产生重大的积极影响。如果蓝宝石行业最终未能达到预期的规模，公司投入的研发资源、厂房设备等将无法取得预期回报，将承担相关投资产生的闲置、折旧、人力成本等等。“对于周群飞女士来说，这是一次依靠30多年从业经验所作出的专业判断，也是一场志在必得的豪赌。那么追随着女首富的投资者们，你愿意跟着一起守望春天的到来吗？【微信公众号：君临（junlin_1980）】         
1491355811000[,,,,,,]$立讯精密(SZ002475)$ 4月5日09:30入选#股价创新高个股#策略，当前股价25.37元，上破52周高点价格25.32元。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/33
1491024248000[,,,,,,]$万华化学(SH600309)$ 接触股票两年，都是懵懵懂懂的瞎买，年初，脑子进水去追涨停板，一周亏损五千，痛定思痛，开始学习价值投资，以安全为底线，做低估值，成长稳定，行业龙头股，一月二十三，介入万华24.5建仓，二月份经历一次调整，下探到23.5，说实话，心怯，差点没拿住  ，如果不是心里一直有个信念，万华一定要拿到四月份，估计就割肉跑了，优质的票子就是稳定，第二天剧情反转，一口气万华站稳25，上探26，出了五百股，持有1000，一周后再次回调，又加仓800，成本24.5，后面基本没动，耐心持有，直到有一天，万华公告三月调价，第二天，直接全仓买入，股市就是这么神奇，当大家一片看多，主力出货了，那一天，万华跳水，六个点，持仓过重，不淡定了，未加仓时，账面浮盈5000，当天收盘报亏损200，高位加仓，血的教训，全仓买入，赌博心态，投资大忌，调整两天，本人小散，心神失手，直接斩仓而出，只留五百，止损，止乱，至此万华告一段落，检讨，高位加重仓，由浮盈12个点，到出现亏损，背离自己投资初衷  ，后续一直持有万华，地位适当补仓，高位适当抛一点儿，三月一千五百股，收益两千多，万华适合长期持有，目前尚不能准确预估17年收益，继续看好，价值投资！！！期间短线介入双汇1000股，年报出，获利1700，全出，立讯精密介入500股，目前获利10个点，做长期持有。
1491016736000[,,,,,,]周四公告预增在大盘影响下高开低走，周五大盘稳定  出现反包，理应看高一线！
1490953113000[,,,,,,]今天大盘开3206.25，收3222.51，最高3226.25，最低3205.54，呈现震荡上行的走势。资金面一般。昨日复盘提到，大盘短期会有反弹需求，今天如愿走出了反弹笔。从日k看，今天大盘缩量收带上下影线的阳线，收盘价依旧位于20日下方和60日上方，macd绿柱放大，kdj继续下行，整体偏空。从短周期看，大盘处于下跌过程中的反抽笔中，且反弹力度较弱。下周观察反弹能否延续，且突破3230-3235的压力位。最好的情形，便是在当前中枢震荡中企稳。若差的情形，便是要再去3170附近寻找支撑。因此控制好仓位，谨防第二种情形的出现。1.1 朗科科技 龙马环卫 沧州明珠  航民股份 立讯精密1.1.1升华拜克炒冷饭 摩登大道求稳 宜华健康
