1492763261000[,,,,,,]沪指全天维持横盘态势，雄安概念股遭遇跌停潮，银行、券商发力支撑大盘，医疗板块受利好消息影响表现活跃，沪指涨0.03%，报收3173点；深成指跌0.43%，报收10314点；创业板跌0.62%，报收1839点。从盘面上看银行、非银金融、采掘、钢铁等板块涨幅居前；食品饮料、国防军工、建筑材料、建筑装饰、交通运输等板块跌幅居前。据羽时涨跌背离得出，需要警惕的5只股：002120.SZ韵达股份、002478.SZ常宝股份、600777.SH新潮能源、600383.SH金地集团、600188.SH兖州煤业；需要关注的5只股：600715.SH  文投控股、600666.SH奥瑞德、002859.SZ 洁美科技、600355.SH精伦电子、002857.SZ  三晖电气重点关注：600715.SH  文投控股、600666.SH奥瑞德
1492071714000[,,,,,,]指上涨0.07%，报收3275点；深成指上涨0.63%，报收10654点；创业板上涨0.68%，报收1910点。从盘面上看，公用事业、饮料食品、家用电器、交通运输、纺织服装等板块涨幅居前；国防军工、银行、非银金融、休闲服装、建筑装饰等板块跌幅居前。根据涨跌背离得出需要警惕的5只股：000659.SZ珠海中富、600265.SHST景谷、000429.SZ粤高速A、002492.SZ恒基达鑫、002187.SZ广百股份；需要关注的5只股：603997.SH继峰股份、600666.SH奥瑞德、600715.SH文投控股、603377.SH东方时尚、300096.SZ易联众
1492040051000[,,,,,,]$奥瑞德(SH600666)$主力需要最后一跌
1491989146000[,,,,,,]沪指下跌0.46%，报收3273点；深成指下跌0.64%，报收10587点；创业板下跌1.05%，报收1897点。从盘面上看，粤港澳自贸区、石油矿业、电力等板块涨幅居前；高铁、环保工程、雄安新区等板块跌幅居前。根据5日涨跌幅背离得出需要警惕5只股：000659.SZ珠海中富、000429.SZ粤高速A、600265.SHST景谷、600266.SH北京城建、002187.SZ广百股份；需要关注5只股：600666.SH奥瑞德、603833.SH欧派家居、600715.SH文投控股、603377.SH东方时尚、000803.SZ*ST金宇！
1491812568000[,,,,,,]沪指下跌0.52%，报收3269点；深成指下跌0.62%，报收10603点；创业板下跌1.73%，报收1912点。从盘面上看，建筑材料、钢铁、房地产、交通运输、公用事业等板块涨幅居前；机械设备、汽车、非银金融、银行、通信等板块跌幅居前。根据涨跌背离得出，需要警惕5只股，600265.SHST景谷、000650.SZ 仁和药业、000707.SZ  双环科技、002665.SZ   首航节能、601200.SH  上海环境；需要关注5只股：600137.SH   浪莎股份、300618.SZ  寒锐钴业、603997.SH  继峰股份、603088.SH   宁波精达、600666.SH  奥瑞德！重点关注奥瑞德！！！
1491517877000[,,,,,,]我要加蓝色//:蓝色光标，奥瑞德
1491492161000[,,,,,,]蓝色光标，奥瑞德
1491484954000[,,,,,,]新坐标今天减仓是因为15F死叉，并且30F和60F都有顶背离趋势，以下依次是15\30\60F图，明天早盘前1小时如果收不了红，很大概率会进行调整。今天开仓苏州恒久，15F图和日线图以及15F大图如下，即将突破箱体前高，日线下跌时是缩量，很可能是借之前次新暴跌顺势洗盘，具体盘口懒得看了，15F的60线走平上翘，并且K线已经在其之上，现在大盘没有大风险，突破压制线只是时间问题能科股份，60线上15F金叉，日线极度缩量横盘，盘面看已经是完全控盘，目前看涨幅25%左右，只打算进去偷个鸡就出来，不会重仓去搏。川金诺，纯技术面选股，前期高送预期龙二，股性好，跌到前期启动点，日线底背离趋势拓斯达今天业绩预增7倍，龙虎榜都是小资金顶板，上板就是资金合力的结果，和原来的主力一点关系没有，当然我也不确定里面主力是不是还在，之前进去的时候发现每天都在减仓就先出来了，那么4.8要发布2016年报的汇顶科技明天也有一定值博率。宣亚国际明天如果破前高后回落跌破前高，收盘如果站不上，建议减仓，站上去的话可以继续持有，收盘跌破前高的话大概率要开始洗一两天，给套牢盘割肉的机会，减少之后拉升的阻力，当然懒得减仓也没事，终究是会破前高的。奥联电子非常像浙江帮手法，对倒拉升后小单减仓，之前3.17-3.27这段时间一直减仓，昨天封板也是因为高送的缘故，今天看盘口还是熟悉的味道，对倒拉升后减仓，建议持有的去看一下奥瑞德的手法，浙江帮我是从来不敢跟的，极度猥琐恶心。永吉股份4000万拉到接近7个点，这个位置有耐心的可以买，100%破前高，就是时间未知
1491374747000[,,,,,,]$奥瑞德(SH600666)$大盘都这样了，随便买个都比你强
1491229065000[,,,,,,]立个flag2： $  报表不符合逻辑，可能存在XX，怕跨省就不多说了，大家懂的。看这颗雷什么时候爆吧，拭目以待~
1490929345000[,,,,,,]$奥瑞德(SH600666)$跌吧，不怕
1490927150000[,,,,,,]$奥瑞德(SH600666)$ 系好安全带，我要准备要出手了
1490844249000[,,,,,,]$奥瑞德(SH600666)$ 买了10万，玩玩短线
1490842909000[,,,,,,]$奥瑞德(SH600666)$ 快点跌呀，这么慢跌倒28.5我买点
1490696534000[,,,,,,]$奥瑞德(SH600666)$ 大宗交易出来的很是时候
1490675559000[,,,,,,]恭喜了！还是要有坚持看来。一旦做出了判断就要坚持。我就没那么幸运了，同样是OLED概念，选择了……兄台有时间帮我对比看看，多谢了！
1490347807000[,,,,,,]奥瑞德  盘中尖针拉升二、中色股份，标准的下跌分时走势图
1490193934000[,,,,,,]蓝宝石竟然没有提600666
1490193299000[,,,,,,]$奥瑞德(SH600666)$什么时候10送6？
1490181067000[,,,,,,]$奥瑞德(SH600666)$大股东股权质押用于个人融资，他要那么多钱干什么呢，细思甚恐，最近一定会有大动作。
1490181067000[,,,,,,]$奥瑞德(SH600666)$大股东股权质押用于个人融资，他要那么多钱干什么呢，细思甚恐，最近一定会有大动作。
1490177399000[,,,,,,]$奥瑞德(SH600666)$
1490170149000[,,,,,,]   600666长期盘整基本结束，改上涨了持有应该在1年以上
1490153596000[,,,,,,]$奥瑞德(SH600666)$ 很多股友一看不涨就开始出货。。。缺少耐心，机会是留给等待的人的。
1490150366000[,,,,,,]$奥瑞德(SH600666)$昨天跌空，不看好，还是出吧
1490087886000[,,,,,,]沪指收报3261.61点，涨0.33%，成交额2191亿。深成指收报10586.62点，涨0.52%，成交额2773亿。创业板收报1961.06点，涨0.37%，成交额817亿。大盘回顾：1、两市今日整体呈现震荡走高的态势，早盘在黑色系期货下跌的影响下，有色、钢铁板块双双下挫，但随后港口和白酒板块一路震荡走高，刺激沪指翻红，午后次新股继续强势表现，个股整体也涨多跌少。截止收盘沪指涨0.33%，深成指涨0.52%，创业板涨0.37%，两市总成交额4964亿。2、板块概念方面涨多跌少，白酒、次新股板块涨幅居前；钢铁、煤炭板块领跌。3、两市共1517只个股上涨，51只个股涨停，除新股外涨停22只；1350只个股下跌，特一医药跌停。4、沪股通全天净流入8.45亿，深股通全天净流入1.48亿。资金流向主力净流入行业板块前五：建筑装饰、饮料制造、白色家电、港口航运、高速公路主力净流入概念板块前五：PPP概念、高铁、白酒、新型城镇化、机器人概念主力净流入个股前十：康美药业、葛洲坝、 、 、中国平安、道森股份、 、印纪传媒、华英农业、亨通光电
1490085170000[,,,,,,]  【今日主力资金净流入前十个股】截止3月21日收盘，沪深两市主力资金净流入前十个股分别为： （）、 （）、 （）、中国交建、中国平安、道森股份、中国建筑、印纪传媒、华英农业、亨通光电。
1490085035000[,,,,,,]$奥瑞德(SH600666)$
1490078413000[,,,,,,]$奥瑞德(SH600666)$ 不破32不卖
1490078118000[,,,,,,]$奥瑞德(SH600666)$ 不应该这样呀……横盘这么久，还要继续玩单阳不破呀，继续持股吧。静等拉升。
1490074025000[,,,,,,]$奥瑞德(SH600666)$ 动起来呀
1490059271000[,,,,,,]$奥瑞德(SH600666)$ 3月21日09:21入选#前期整理平台放量突破#策略，上一交易日成交量放大至5日均量的3.8倍，上穿震荡区间最高价28.14，突破前期横盘整理平台。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/21
1490055624000[,,,,,,]xx哥新作品奥瑞德做了一波从27做到38后面做了几个小波段基本都是27-29附近xx哥昨天放大量对倒突破30压力位这是吹响集结号冲锋还是做一个小坡段回落
1490023529000[,,,,,,]$奥瑞德(SH600666)$ 大家可以看到奥瑞德前期高头的压力是非常巨大的，今天直线突破这个压力位置并且是在均线系统比较乱的情况下突破的，股价持续维持在高位，这样的走势明后两天必然会有拉升动作，大家捂住！
1490018416000[,,,,,,]没想到印记传媒的仓位这么重       可能庄股比我们想象中的仓位重的多     盘中吸筹可以很隐蔽的      而且   庄股好多都会反复做    应该还是会留底仓的     次新一直会是大机会只是     明天狂龙要点好多票    先不买吧        等他点完再说许多次新  都会走一个圆形低     都有资金在做        不说了            要自己总结的  新坐标 一直没跌下去从开板就是横盘        真的不能跌了      盘子太小最近      温州的拉升没有持续性    我就不信中房地产敢洗到20以下     庄家仓位应该很重     今天洗的很好    跌破20啊       来啊     和胜昨天的拉升是山东做的             应该可以确定     但从今天的盘面来开     应该仅仅是为了出货      又很小的可能再来一波但是任性的山东帮还是       说不准     但是明天我肯定出     浙江帮               一般不要做    走出形态再说        浙江棒还是不大气看明天的奥瑞德了    以前天天流入两亿     股价波动也不大    细腻的浙江帮    哈哈哈哈人的一生    就是   见天地   见众生见自己的过程       慢慢来          
1490010614000[,,,,,,]$奥瑞德(SH600666)$公告显示半年来股东人数一路暴增，但操盘手仍一路控制局面，不得不服的高手。多少奈不住横盘洗出去的！包括我那被洗出的半仓
1490008976000[,,,,,,]我最近感觉我操作的标的可以总结为次新+庄股+题材的大轮动。涨停确实是最强的形态，但是涨停往往往往是出货的前奏。相反，那些不断上涨却不涨停的股票往往被关注的不够，其实也是机会多多。因此我决定以后观测的标的范围要扩大。而不仅仅局限于涨停的标的。这样带来的缺点是工作量的增大。但是看盘这个事，如果只看形态，其实也浪费不了多少时间。次新股实际上已经很危险了，今天的上涨很像是回光返照。同花顺最新新股指数883907在上个交易日走出天量阴线，今天走缩量反攻。这很危险。接下来的一段时间里要回避次新，只炒庄股和题材股。当然不必回避次新中的庄股。我今天抛掉了埋伏的300501和000607，前者小赚，后者小亏，总体而言是小亏。这个操作等同于我在一月份的时候埋伏300215，也是埋伏了好久，没等到它的主升期就小亏卖掉了。对于股票的一波大的上涨而言，放量是个关键的步骤，否则还是在中枢中运行。精达股份：标准的30min盘整顶背驰终于走出来了。这只股票我观察了很久，但是始终没有介入，原因是节奏太快。不过也有收获。收获就是观察了这种模式——连续一字板之后横盘震荡，并且换手率缩放有秩，总体没有出现换手大幅降低的状况，那么此时的30min级别或60min级别的MACD回抽就会更有意义。新宏泽：从日K级别来看，这一波的上涨是个不断缩量的过程。等待它放量崩掉回抽到位再考虑介入。天山股份：这只股票体现了只要成交活跃，那么一切皆有可能。一旦连续阴跌缩量，就会非常危险。它挣扎出这个日K级别中枢的过程，就像是一头被缠住的猛兽胡冲乱撞。日K级别的技术形态意义是最大的。这是由于T+1交易制度的原因。两只底部异常放量的股票：中科创达和奥瑞德。尤其是奥瑞德，它这个底部放量相当夸张。若干只整装待发的庄股：万里石，纳尔股份，雅百特，三祥新材。中航黑豹：从日K来看形态依旧健康。   
1490005525000[,,,,,,] 能否起势看明天，最近假突破太多啦
1489994126000[,,,,,,]$奥瑞德(SH600666)$互道煞笔的时刻到来了吗？
1489990953000[,,,,,,]看好 ，今天主力进场，明日还有上升空间
1489989222000[,,,,,,]我刚刚调整了雪球组合   的仓位。奥瑞德 29.96 买入。这是半年的横盘震荡后第一次拉涨停并突破了中枢上沿。
1489988589000[,,,,,,]回复: 这是个中线票，主力在场有日子了今天突然拉升，可能有什么情况，有资金进场。做中线的话可以关注。//:回复:谢谢你，大神，想问下奥瑞德适合追吗 [¥10.00]
1489987176000[,,,,,,]$奥瑞德(SH600666)$ 3月20日13:19入选#主力盘中连续抢筹#策略，有主力连续大单吸筹，推送时涨幅9.85%，大单买入635100股，成交量放大至日均成交量的11.7倍。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/19
1489987107000[,,,,,,]$奥瑞德(SH600666)$ ？？？？？
1489987056000[,,,,,,]$奥瑞德(SH600666)$ 这个票的资金流向很奇葩啊。
1489985453000[,,,,,,]$奥瑞德(SH600666看多
1489827296000[,,,,,,]$奥瑞德(SH600666)$ 奥瑞德这只股不错，绩优，又准备高送转，股价在去年七月高位回落盘整至今，实际控制人发公告要分批增持200～1000万股，股价相对稳定在26-28元。但唯一瑕疵就是股东人数大幅增加，16年6月中报公布1.6万户（此时股价涨到高位），今年二月股东户数7万多户了，说明持股比较分散，不利于股价上涨，个人意见，多多交流。
1489656386000[,,,,,,]沪指上涨0.84%，报收3268点；深成指上涨0.77%，报收10624点；创业板上涨0.46%，报收1966点。从盘面上看，通信、非银金融、综合、国防军工、计算机等板块涨幅居前，家用电器、食品饮料等下跌。根据羽时炼金术涨跌背离需要警惕5只股票:600346.SH恒力股份、600299.SH安迪苏.SZ景峰医药、002425.SZ 凯撒文化、000959.SZ   首钢股份;值得关注的5只股票：600666.SH奥瑞德、000620.SZ新华联、300145.SZ  中金环境、600383.SH金地集团、600011.SH华能国际
1489638063000[,,,,,,]$奥瑞德(SH600666)$ 还有得磨
1489637230000[,,,,,,]$奥瑞德(SH600666)$持小仓观望
