1492819187000[,,,,,,]//:我刚打赏了这个帖子 ¥1，也推荐给你。
1492791067000[,,,,,,]$华夏幸福(SH600340)$ 感谢 @大灰狼律师 和 @滚一个雪球 的分享，认真地看完他们的帖子后，很认同他们看好华夏幸福的逻辑，在雄安概念之前开始慢慢建仓，成本26左右。雄安概念之后40块加仓，成本上升到31，回吐出大部分利润。看到那么多高位被套的人，感觉自己回吐利润也不算什么了……其实就算华夏幸福这次没有赚到钱，也是学到经验了。国家对200亿天量出货的第二天，很犹豫要不要减仓，那几天看雪球的讨论也分歧很大。看多的说高换手代表未来更大的上涨潜力，游资高位解盘，有强烈的拉升愿望，洗得越彻底上涨的阻力就越小。另外45元的华夏对应17年的业绩也不算贵，还有很大的炒作空间。看空的说，200亿的天量成交，已经吸了很多血，目前是存量市场，后面难有那么大量的资金来推动上涨。国家对尾盘突然放水，打压意图明显，风险很大。多空说法好像都有点道理……我倾向多方观点，游资高位接盘，不吃到一点肉是不会轻易走的，他们有强烈的做多的愿望。雄安概念吸金效应这么明显，大家热情那么高，应该不用担心没有钱流进来。于是我选择持股不动。没想到后面的紧急停牌，急刹车，浇灭了热情。然后是一路下跌，到今天的35。其实市场给了逃跑的机会，没有一字板跌停，但是我没有跑，还在40元增持了，抱着侥幸和投机心理。现在想想，天量成交，接盘的筹码也分散，不集中，出现政策打压，大跌时，多空分歧肯定也比较大，难以形成一致趋势，放量缓跌就容易理解了。换个角度想，放量缓跌也是好事，充分换手后，持股成本较低。如果不放量急跌，没有充分换手，那么上方将有大量高位的套牢盘，以后要拉涨就更困难了。现在这样充分换手，等后面雄安政策落实，或者等华夏季报，更容易反弹。这些问题在华夏以前成交量很萎靡的时候是没有考虑过的，这次华夏过山车的经历让我第一次注意到了筹码的分布和股价之间的逻辑关系。新手第一次在雪球写这么长的文字。请轻拍。
1492790905000[,,,,,,]熊安了，牛走了华夏幸福开板后几天套住至少250亿元，金隅股份开板后几天套住至少200亿元，河钢开板后几天套住至少120亿元，荣盛发展开板后几天套住至少100亿元，首创股份高位拐头后几天套住至少100亿元，冀东水泥开板后几天套住至少120亿元，唐山港开板后几天套住至少80亿元，保变电器高位拐头后套住至少50亿元，首航节能开板后几天套住至少70亿元，棕榈股份高位拐头后套住至少80亿元，巨力索具开板后几天套住至少50亿元，京汉股份开板后几天套住至少100亿元，韩建河山开板后几天套住至少50亿元，以上简单相加，已经是1370亿元人民币，如果把其他小盘雄安股高位被套资金加进来，至少有1500亿元市场最活跃最勇猛的流动性资金，被套在了雄安板块的高位。千年大计，千亿奠基。
1492790334000[,,,,,,]市场有两类典型的投资风格，积极投资与被动投资，各有各的说法。典型的被动性投资，就是先锋公司的ETF基金，规模已经接近上万亿美元，而典型的积极投资代表就是西蒙斯的文艺复兴基金，规模相对较小，并且不对外开放。被动投资的前提在于假设市场是有效的，任何想通过择时战胜市场都是不可能的，与此相反，积极投资则是假设市场存在无效的地方，可以通过市场无效获取盈利。这是表层的推演，我们想再深入推演下去。如果积极投资是有效的，则表明市场的某些交易是无效的，因此存在盈利的机会。所以从市场无效引申出来，那就是说市场参与者存在无效的买卖操作，譬如对某只股票的估值存在短期或长期的偏差，从而让积极投资者从中找到盈利的机会，但是这存在一个认知的偏差在于，很有可能积极投资者所认为正确的估值也是错的，就是积极投资者在市场当中并不能正确分辨出股票的正确估值的情况下，积极投资者反而成为了市场无效的根源，那这很自然就引申出索罗斯的反身性原理。所以，对于普通投资者来说，要么绝对认同被动投资，要么就只能 跳进市场与积极投资者同流合污。我想两者之间很难有中间地带吧。我们再进一步推演所谓的积极投资者，又很容易成为欺骗大众的人，譬如索罗斯所说的最佳的投资机会，就是当大众所认知错误没有被觉察，并存在重大的盈利空间的投资机会，才值得你赌上全副身家（大概是这样的意思）简单的来说就是参与欺骗群众，获取暴利。当然，由于大部分人的对市场的认知存在局限性，反而在他们最有把握下重注的时候，赔个精光。所以，绝对正确不容易为凡人所掌握，真理也难以让普通人所了解，当你自认为无比正确而赌一把的时候，请对市场的不确定性保持谦卑，对风险保持警惕性。这个市场不是黑天鹅满天飞的，黑天鹅只会出现在无知的人面前。   
1492789171000[,,,,,,]$华夏幸福(SH600340)$周末雄安有利好消息，华夏幸福下周一领涨唯马首是瞻
1492788996000[,,,,,,]我感觉中了千年大计    
1492788620000[,,,,,,]连续警示一周的风险了。如今跌了那么多，就来再来说说后面的情况吧，如果下周跌到32附近，越低越好，就会产生反弹，反弹极限高度是42元，基本上难以企及。 //:  正在逐步走向深渊
1492788184000[,,,,,,]谢谢楼主文章  ，华夏幸福，这么说呢？，吴和孟的业务都挺熟，老江湖了，就是说话留半句。一直觉得产服收入没有持续性，根本受益还是地产。只要我国经济这辆自行车不倒，华夏幸福前景还是看好的。
1492787579000[,,,,,,]阵亡将士名单！千古！永垂不朽！华夏幸福开板后几天套住至少250亿元，金隅股份开板后几天套住至少200亿元，河钢开板后几天套住至少120亿元，荣盛发展开板后几天套住至少100亿元，首创股份高位拐头后几天套住至少100亿元，冀东水泥开板后几天套住至少120亿元，唐山港开板后几天套住至少80亿元，保变电器高位拐头后套住至少50亿元，首航节能开板后几天套住至少70亿元，棕榈股份高位拐头后套住至少80亿元，巨力索具开板后几天套住至少50亿元，京汉股份开板后几天套住至少100亿元，韩建河山开板后几天套住至少50亿元，以上简单相加，已经是1370亿元人民币，如果把其他小盘雄安股高位被套资金加进来，至少有1500亿元市场最活跃最勇猛的流动性资金，被套在了雄安板块的高位。
1492787013000[,,,,,,]$华夏幸福(SH600340)$好多人在担心华夏的融资盘，是否危言耸听或者言过其实，必须要提醒注意：融资盘不会无脑上，也不会无节制的上，谢谢关心，不必过虑会爆仓
1492786924000[,,,,,,]雄安大捷(又称雄安歼灭战)是中国资本市场上著名的一场战役。2017年4月上旬，以中证金、汇金为代表的国家队，及有中信证券御林军背景的成泉资本，及有各路灵通消息源的突击队，在我国晋察冀雄安新区成功联合狙击了采用人海战术进行侵略的游资机构和傻散的扫荡。此战由汇金、中证金等国家正规军做主攻，成泉资本等突击队协作，利用媒体诱敌深入，在战役最激烈的2017年4月12日一举击溃了上千亿的游资机构和散户杂牌军。4月12日，在主战场金隅股份上一役堪称世界资本市场恶战的经典之作，早盘9：25分集合竞价之时，游资机构及散户调集150余亿的资金强攻金隅股份，国家队和成泉资本等以迅雷不及掩耳之势，用巡航导弹、弹道导弹，集束炸弹、毒气弹、白磷弹等对游资机构和傻散发起了猛烈攻击，此举打得游资机构自相残杀、人仰马翻，乱成一团。雄安之战堪称经典战役，完全可以成为教科书一样的模版，当天早盘集合竞价之际，国家队和成泉资本通过超级大卖单对游资机构进行迎头痛击，然后双方在9.08元涨停位展开激烈厮杀，两方在涨停位倾尽所有弹药粉碎了游资散户的持续不断的进攻。同时，国家队和成泉资本在京汉股份、冀东水泥、荣盛发展等分战场，对游资机构和傻散进行分割围歼，双方通过短兵相接的白刃肉搏战，敲碎了数百个质量一流的键盘。在分战场华夏幸福上，激战同样激烈，中证金、汇金等利用9362万股的重炮，对游资机构进行了疯狂的轰炸，尤其是成泉资本为了能和国家队并肩作战，从拿到营业执照到取得私募备案资格仅仅用了半个月时间，成泉资本为了能协同好国家队完成狙击任务，从中信证券抽调多位精英，同时得到后方中信高管及内部员工在资金上的鼎力支持，通过快马加鞭的方式在春节后雄安大战打响之前及时赶到战场，然后在战役打响后冲在前面，不畏惧自身安危，通过加杠杆、突击发信托等主动备战的方式囤积了巨量弹药，然后在4月12日攻坚战最激烈之刻，协同国家队共同完成了对游资散户的痛击之战。本次雄安战役，国家队和成泉资本击毙游资机构1000余个，击毁散户150万个，消灭融资180亿，干到爆仓的大户6000余个，国家队和成泉资本耗费弹药近1000亿，在激战最惨烈的4月12日拍坏键盘148个，其他战利品还有山炮1000余门，机枪250余挺，火炮140门，以及其他大批军用物资，还有数百个已经爆仓的空融资账户400余个。雄安大捷是2015年6月份国家队托盘失败之后正规军赢得的第一个大胜利，对我军日后能围剿更多的土匪、游资、机构给与了强烈的信心支持。而雄安大捷，有力地打击了游资机构的嚣张气焰，打破了游资机构不可战胜的神话，极大地振奋了各级军民的信心，提高了民心、士气，使全国人民看到了中国A股市场能砸回2000点的希望所在。正是在士气上彻底打败了游资不败的神话，为此雄安大捷后，中国A股市场开始闪崩不断，很多游资机构散户开始自相残杀，每天一字板的股票满屏皆是。在游资机构和散户被全部歼灭后，有媒体记者采访成泉资本的总指挥——胡继光，胡总指挥丝毫没有主动邀功，相反很谦虚的说能和国家队并肩作战只是巧合，当然也是无限的光荣，但这次能配合正规部队成功击溃游资机构和散户，也是源于指战员日常的高素质训练，也是整个团队积极向上、富有活力、具有强大执行力和协作能力的具体体现。胡总指挥的谦虚，更加让我们理解了御林军中信证券的技战术能力确实独树一帜，同时也让广大群众对人民子弟兵的高素质、谦虚美德更加敬佩有加。
1492786851000[,,,,,,]$长安汽车(SZ000625)$这一周真是腥风血雨啊。幸好没买华夏幸福，金隅股份，先河环保，南方汇通，盈方威。长安加油。
1492786848000[,,,,,,]【盘势】 看得见的现在  回不去的从前4.21  看得见的现在  回不去的从前缩量的过程，就是一个寻底筑底的过程。今日缩量明显，成交量降到5日均量线之下，谈不上是地量，但已是相对地量，早盘冲高后一路下行，沪指收十字星（涨0.03%），深、创收阴体倒锤子，上影线较长。共9只个股涨停，继续保持个位数，没有1只次新股出现，共31只跌停，其中有6只次新股；钢铁、银行领涨，港口和雄安板块领跌，雄安板块个股中，既可一口气连拉五六个涨停板，也能连跌5日（如5连跌的京汉股份华夏幸福、冀东水泥、连续3个跌停板的保变电气），已回到了第二三个涨停板之间，下跌重灾区次新股连续三日没有出现在跌幅榜前列，但个股不要命的杀跌方式仍旧令人心寒不已，如清水能源从高处横盘位置连续5个一字断魂刀、能科股份连续4个一字跌停板（共5个连续跌停）。相对于以上连续跌停板辣手摧花般的杀跌（主要集中在次新股），还有四类杀跌方式同样令人心寒，一类是阴跌不止（如中国嘉陵、圣阳股份、德尔未来），一类是跌破横盘已久的盘局（如复牌的莱茵体育、海汽集团、长航凤凰），一类是前期累计涨幅巨大、又跌回到起涨点附近的个股（如复牌的泸天化、凯发电气、云意电气、南威软件、金发拉比），一类是近期复牌归来变身ST的个股。对于大盘而言，是看得见的现在，当前仍处在一个大底阶段，对于众多个股来说，却是回不去的从前，有多少个股已跌破了自2015年以来的低点，或者正在跌破的路上，自去年1月份熔断以来所观测的部分“曾经的好股”（如新文化、锦江投资、绿地控股、盛路通信、新能泰山、协鑫集成），一年多来走到今天，与之相伴的是新低、新低、新低，即使在一个阶段的新低之后出现一个放量涨停板，也只不过是为了再下一个台阶，曾经激情澎湃般上涨的心似乎已渐渐平息。。随着上市公司数量的不断增加以及局部气候的变化，短期之内，至少是在今年之内，是看不到普涨的格局的，听上市公司讲故事的春天还很远很远。。复盘就是这样，只看跌停板和下降通道中的个股，仿佛置身于熊市中，只看涨停板和上升通道中的个股，好像处在牛市中。综合来看，当不安定因素增多、滞涨甚至向下破势的个股增多时，就要时刻保持熊市的思维，保持戒心、耐心和信心。都说雄安板块会有二次拉升，我也信，只是需要耐心的等、等、等。
1492786647000[,,,,,,]$华夏幸福(SH600340)$2016年6月底7月初嘉善孔雀城对外进行宣传销售，然后我们四期（珑院）业主交了3.5万所谓的团购费，后来这个3.5万并没有写入合同只有一个POS小票。然后告诉我们7.10号左右开盘，价格在7000--8000.到了7.10号又说开不了盘，说到7月底开盘，价格可能调整到8000--9000，然而到月底并没有开盘。到了8月份他们的销售一直在安抚我们。说会尽快开盘，让我们安心等待。终于等到9.10号，在上海松江景悦大酒店开盘，价格在11500左右，远远高于当初宣传的7500左右，这中间利用3.5万元团购费捆绑了我们，导致我们没法去其他楼盘购房，因为当初7月和8月嘉善其他楼盘价格也就9000元。后来没办法我们咬着牙买了房子，9.12号我们去了上海松江签订了草签合同，付了3成的首付款，并向银行申请贷款，看似一切都很顺利。开发商告知我们1个月内会通知我们签订正式合同，并向房管局网签（备案）。当时有业主问为什么不是今天直接签正式合同，他们解释说，由于人太多，会比较乱。先草签，看有没有问题。后面我们就一直等待。这期间我们问了销售为什么还不正式签合同，他们就说快了，让我们安心等待。再后来问销售，离谱的就说，我离职了，别找我，或者说你退房吧，等不负责任的话。后来知道当初我们四期共计1300多户，最后就是我们1号楼和5号楼部分业主没签合同，大约200户，原因是他们这两栋楼的预售证是2016年11.30号才拿到，而9.10号就提前卖了。然而2016.12.20号左右嘉善采取房屋限购，关闭网签，可能导致我们没有签订。然而开发商不承认预售证的事情。一直到2017.3月我们这些业主相聚在一起，约开发商为什么不签合同。4.18日约到嘉善孔雀城销售负责人王总，佘经理。给我们的解释是，由于去年嘉善政府限购房子，所以没法签合同，我们提问限购只是限制2套房屋，限购的时间是12.20，我们是9.10号购买的，而且是首套，这2个月的时间完全可以签掉，为什么我们1-5号楼没有签，他的解释就是签合同要一个个来的，时间不够用。其实这期间他们一直忙着卖七期的盘，我们付完首付的业主他们就搁置在一旁不管不问，一个电话也没有。开发商告诉我们政府在严控房子价格，对孔雀城4期楼盘网签备案价格是9000。而开发商卖给我们是11500左右，所以签不了。我们问开发商，既然问题是你们导致的，房子你们卖高了，预售证你们没有就卖房子，签订合同时间耽搁了，等一系列违规现象。如何解决，开发商给出的是，经上级领导商讨，现在需要我们购买8万车位的使用权，这样就能给我们签了，我们业主当然接受不了，这等于坐地起价，强买强卖。和当初约定不一，和其他四期业主花的钱不一样。开发商的行为，就是在逼迫压榨我们老百姓，我们是不会同意的。如今我们生活在习大大的法治社会下，我相信社会会还我们一个公道，会给人民一个公正的名义。
1492786620000[,,,,,,]转：雄安歼灭战，是中国资本市场上著名的一场战役。2017年4月上旬，以中证金、汇金为代表的国家队，及有中信证券御林军背景的成泉资本，及有各路灵通消息源的突击队，在我国晋察冀雄安新区成功联合狙击了采用人海战术进行侵略的游资机构和傻散的扫荡。 此战由汇金、中证金等国家正规军做主攻，成泉资本等突击队协作，利用媒体诱敌深入，在战役最激烈的2017年4月12日一举击溃了上千亿的游资机构和散户杂牌军。4月12日，在主战场金隅股份上一役堪称世界资本市场恶战的经典之作，早盘9：25分集合竞价之时，游资机构及散户调集150余亿的资金强攻金隅股份，国家队和成泉资本等以迅雷不及掩耳之势，用巡航导弹、弹道导弹，集束炸弹、毒气弹、白磷弹等对游资机构和傻散发起了猛烈攻击，此举打得游资机构自相残杀、人仰马翻，乱成一团。雄安之战堪称经典战役，完全可以成为教科书一样的模版，当天早盘集合竞价之际，国家队和成泉资本通过超级大卖单对游资机构进行迎头痛击，然后双方在9.08元涨停位展开激烈厮杀，两方在涨停位倾尽所有弹药粉碎了游资散户的持续不断的进攻。同时，国家队和成泉资本在京汉股份、冀东水泥、荣盛发展等分战场，对游资机构和傻散进行分割围歼，双方通过短兵相接的白刃肉搏战，敲碎了数百个质量一流的键盘。 在分战场华夏幸福上，激战同样激烈，中证金、汇金等利用9362万股的重炮，对游资机构进行了疯狂的轰炸，尤其是成泉资本为了能和国家队并肩作战，从拿到营业执照到取得私募备案资格仅仅用了半个月时间，成泉资本为了能协同好国家队完成狙击任务，从中信证券抽调多位精英，同时得到后方中信高管及内部员工在资金上的鼎力支持，通过快马加鞭的方式在春节后雄安大战打响之前及时赶到战场，然后在战役打响后冲在前面，不畏惧自身安危，通过加杠杆、突击发信托等主动备战的方式囤积了巨量弹药，然后在4月12日攻坚战最激烈之刻，协同国家队共同完成了对游资散户的痛击之战。本次雄安战役，国家队和成泉资本击毙游资机构1000余个，击毁散户150万个，消灭融资180亿，干到爆仓的大户6000余个，国家队和成泉资本耗费弹药近1000亿，在激战最惨烈的4月12日拍坏键盘148个，其他战利品还有山炮1000余门，机枪250余挺，火炮140门，以及其他大批军用物资，还有数百个已经爆仓的空融资账户400余个。 雄安大捷是2015年6月份国家队托盘失败之后正规军赢得的第一个大胜利，对我军日后能围剿更多的土匪、游资、机构给与了强烈的信心支持。而雄安大捷，有力地打击了游资机构的嚣张气焰，打破了游资机构不可战胜的神话，极大地振奋了各级军民的信心，提高了民心、士气，使全国人民看到了中国A股市场能砸回2000点的希望所在。正是在士气上彻底打败了游资不败的神话，为此雄安大捷后，中国A股市场开始闪崩不断，很多游资机构散户开始自相残杀，每天一字板的股票满屏皆是。 在游资机构和散户被全部歼灭后，有媒体记者采访成泉资本的总指挥——胡继光，胡总指挥丝毫没有主动邀功，相反很谦虚的说能和国家队并肩作战只是巧合，当然也是无限的光荣，但这次能配合正规部队成功击溃游资机构和散户，也是源于指战员日常的高素质训练，也是整个团队积极向上、富有活力、具有强大执行力和协作能力的具体体现。胡总指挥的谦虚，更加让我们理解了御林军中信证券的技战术能力确实独树一帜，同时也让广大群众对人民子弟兵的高素质、谦虚美德更加敬佩有加。
1492786477000[,,,,,,]$冀东装备(SZ000856)$$青龙管业(SZ002457)$$华夏幸福(SH600340)$先河环保(SZ300137)金隅股份(SH601992)首创股份(SH600008)沐沐股语，这个大骗子又开始忽悠了！骗子的手法是推荐很多票，跌的票就当缩头乌龟，涨的票天天吹。每天蹭热点，关键这些热点票涨的票自己根本就没买，一评论就搞得好像他早已潜伏了一样，关键还有人信他，不过质疑他的早被拉黑了，哈哈 沐沐贱狗，你的qq群管理费收齐了没？你这么烂现在还好意思收费啊@沐沐股语
1492786308000[,,,,,,]回复: 你应该学习一下毛主席的游击战和运动战，当年丢掉延安是最为了重新占领延安。高位丢掉华夏地位再重新拥有华夏//:回复:嗯，如果你是4月5日之后买的，毫无疑问应该先出来再说。如果是4月1日前买的，看不出有什么必要出局。市场的大幅波动也许已轻松吃掉短期大部分利润，但这个短期盈利本来就不应在你购买该股的逻辑里面。如果未来数年华夏幸福发展和你买股时预期一致，我相信48元或者96元都是可以预期的。风物长宜放眼量，共勉 
1492786298000[,,,,,,]回复: 看来是华夏幸福的强烈看好者呀。。不过，万达已经证明万达广场（及其加强版）能够在市场环境差别极大的不同地方成功复制，万科已经证明郊区住宅类地产开发能够在不同市场复制，华夏幸福要证明产业新城（以固安为代表）能在不同且差别极大的市场区域间复制，还需要更多成功案例来证明自己，希望她能行。//:回复:在我心里，综合分析市值，估值，发展战略之后，华夏幸福大于万科大于万达。
1492786258000[,,,,,,]$华夏幸福(SH600340)$恒大你踢五过
1492785739000[,,,,,,]从互联网视角看地产股的价值创造。特别要关注华夏幸福，万科 和 万达 等几家代表性企业所选择的路径。
1492785476000[,,,,,,]$华夏幸福(SH600340)$今天被上港3球完爆！差距啊，估计周一继续阴跌3.5个点！估计31元站稳！半年后看三季度报能上42
