1492814400000[,,,,,,]分得这么少，套路却不少，中国建筑你行。
1492760584000[,,,,,,]哈哈哈，不解释。
1492760224000[,,,,,,] 一带一路高峰论坛详细日程公布，市场预期再度提升。在2017  年4  月18日外交部举行的中外媒体吹风会上，王毅宣布，“一带一路”国际合作高峰论坛将于5  月14  日-15  日在北京举行，国家最高领导人将出席开幕式并主持领导人圆桌峰会。28  个国家元首和政府首脑确认将出席，还有来自110个国家的官员、学者、企业家、金融机构、媒体等各界人士确认参加论坛，与会代表总人数将超过1200  人。根据日程安排，在5  月14  日上午，将举行高峰论坛开幕式、高级别全体会议，下午将举行6  场平行主题会议；5月15  日全天安排为领导人圆桌峰会，包括加强政策和发展战略对接、深化伙伴关系，以及推进互联互通务实合作、实现联动发展。随着大会不断临近，媒体报道频率增加，市场对于一带一路预期不断提升。        商务部公布一季度海外订单情况，3  月单月新签合同额同增22%。据商务部通报数据显示，一季度对外承包工程完成营业额292.6  亿美元，同比下降2.8%；新签合同额429.6  亿美元，同比下降7.0%，较1-2  月上升13.6个pct（1-2  月同比下滑20.6%）；3  月当月，完成营业额124.9  亿美元，同比增长8.5%，新签合同额179.2  亿美元，同比增长22.2%。        京津冀城际铁路发展基金设立，交通建设或提速。4  月18  日，京津冀城际铁路投资有限公司与12  家金融机构签约，京津冀城际铁路发展基金正式成立，基金总规模1000  亿元，初期规模600  亿元，其中京津冀铁投公司出资60  亿元，吸引社会资金540  亿元，基金存续期为10  年，其中70%的投资可用于京津冀区域内的城际铁路建设，30%的投资可用于沿线土地综合开发。另外，4  月19  日总书记19  日考察广西时表示，“我们常说要想富先修路，在沿海地区要想富也要先建港”。双轮事件驱动下，铁路及港口等交通设施建设或提速。交通与港口首推行业绝对龙头中国交建建筑央企一季度订单趋势强劲。在海外与国内基建PPP  订单带动下，建筑央企一季度再度展现强劲的订单趋势，其中葛洲坝/中国中铁/中国铁建/中国电建/  中国化学/  中国建筑一季度订单分别增长        42.55%/36.1%/45.96%/18.84%/91.87%/24.24%，以及中国交建设定今年订单增长23%的目标，预计今年建筑央企订单有望在去年快速增长的基础继续大幅增长，这将有望带动建筑央企未来盈利预期提升或估值提升。        投资建议：临近五月一带一路大会，媒体报道增强，市场预期再度提升之际，板块有望再迎高潮。建筑央企今年以来订单高增长、绝对估值低、前期涨幅相对较小，有望成为市场后期配置重点。继续重点推荐中国建筑（超低估值、3  月订单数据极佳）、葛洲坝、中国交建、中国铁建、中国化学，国际工程重点推荐中工国际、北方国际、中钢国际。        风险提示：海外经营风险、订单落地不达预期风险。： 
1492760017000[,,,,,,]话音刚落……不会吧？//:回复:三聚环保的工程服务毛利率达到35%，高得有些不能相信，其他做工程的毛利率能不能达到30%，比如，比如的一个子公司做的那个12亿的山东桦超项目。他的合作公司，民营企业多，他们看到给他们做的工程毛利那么高，会不会让三聚降价呢？反正股票涨了，赚钱就好。
1492759723000[,,,,,,]$中国建筑(SH601668)$ 真是小强！
1492758934000[,,,,,,]$中国建筑(SH601668)$ 没有对比就没有伤害，确实不是一般的强，尤其大家跌的时候
1492757902000[,,,,,,]$中国建筑(SH601668)$又一次感受到了党的温软  领略到了国家队万手脱单的风采
1492757378000[,,,,,,]护盘时间到了，中国石化、中国建筑拉升，指数跌幅收窄，只是每天这样的护盘也掩饰不了个股的大幅下挫，这样的面子工程不搞也罢！
1492757154000[,,,,,,]$中国建筑(SH601668)$ 主力辛苦了，收个红吧！
1492756955000[,,,,,,]$中国建筑(SH601668)$国家队上班了
1492756955000[,,,,,,]$中国建筑(SH601668)$国家队上班了
1492756903000[,,,,,,]$中国建筑(SH601668)$浏览中建官网发现一个有趣的事儿，今年2月以后没有一条官庆董事长的新闻？
1492756523000[,,,,,,]$北新路桥(SZ002307)$ 北新路桥、西藏天路、中国建筑、中铁工业、中国铁建、天山股份：这些标的都是定数，包括最近的雄安新区概念，其实这些都是炒冷饭（2014年的京津冀炒作换汤不换药），主力军团的资金成本才是关键，其实小资金整天追随热点反而还赚不到钱，主力放量拉升就是风险扩大的过程，你不能保证每次都能够全身而退；然而低位震仓区域才是黄金区域，小回撤博弈大的利润，消息都是配合资金规划的，所以朋友们多多思考下吧。
1492756176000[,,,,,,]$中国建筑(SH601668)$我信党  我加仓
1492755984000[,,,,,,]$中国建筑(SH601668)$ 郭嘉队呢
1492755508000[,,,,,,]   请开始你们的表演
1492755490000[,,,,,,]$中国建筑(SH601668)$ 大盘还要收红吗？
1492755314000[,,,,,,]$中国建筑(SH601668)$ 我问了一下，国家队2点26分上班。
1492754625000[,,,,,,]$中国建筑(SH601668)$ 一觉睡醒，竟然没涨，是今天周五的缘故，还是昨天发日常级利好，今早又关了一批人的缘故呢。这股上涨时，惊天动地，交易量大得吓人。下跌时，悄无声息，人都去哪儿了呢。
1492754401000[,,,,,,]$中国建筑(SH601668)$ 今年收益跑赢茅台大概率
1492753916000[,,,,,,]$中国建筑(SH601668)$两点了，上班！
1492753660000[,,,,,,]$中国建筑(SH601668)$ 的主力太仁义了，还给踏空狗上车的机会。既然如此，踏空狗们也别太端着了啊。瞅谁？说你呢！
1492753235000[,,,,,,]$上证指数(SH000001)$$中国建筑(SH601668)$
1492753146000[,,,,,,]$中国建筑(SH601668)$  为什么要发公告
1492753049000[,,,,,,]$中国建筑(SH601668)$ 看看人家西部，你胆子怎么这么小
1492752071000[,,,,,,]$中国建筑(SH601668)$ 得加仓了？
1492751930000[,,,,,,]茅台迭创新高，好多人得瑟啊，好像没有茅台的就不是好的投资者，记得当年段永平200元以下开始建仓，到如今不过一倍多，同时也有估值提升的成分，如果当年同时买入中国建筑的话，到今天升幅3倍收益超过茅台，而且现在估值还是中建低，市值也是中建小，不要忘了中建可是年年稳增长，利润可是300亿级别的，我断定未来三五年茅台跑不赢中国建筑，如果两个同时市值翻倍，哪个更容易轻松些？
1492751847000[,,,,,,]$中国建筑(SH601668)$ 刚是不是砸了1单1W手和1单4W手？
1492751355000[,,,,,,] 12:56 【中国建筑与大连市政府签署深化合作协议】中国建筑与大连市政府签署深化合作协议，十三五期间拟在大连投资建设规模不低于1000亿。（国资委）
1492751297000[,,,,,,]重大利空，东北那个大窟窿填不满，利空中国建筑，利好乐视
1492750933000[,,,,,,]国资委： 与大连市人民政府签署深化合作协议，中国建筑“十三五”期间拟在大连投资建设规模不低于1000亿。
1492748501000[,,,,,,]$招商蛇口(SZ001979)$ 格力已到前高 茅台已到峰值 华夏幸福在回调   目前最有潜力的当属招商蛇口，此股散户最少，中国建筑散户太多了现在招商蛇口20元，年底看涨到25元没有任何问题！
1492745916000[,,,,,,]$中国建筑(SH601668)$静待5月风起。带路高峰论坛。
1492745131000[,,,,,,]最活跃的资金都伤筋动骨了，市场活跃度在直线下降。早盘加了中国建筑，新进中航重机，带路+军工，仓位9成多。慢慢混日子，守好新上来的台阶。
1492745080000[,,,,,,]$黄河旋风(SH600172)$再扯句淡，大家都在说大大接见明匠。呵呵，姓乔的心里很不是滋味，怕儿子超过老子。以前说过，明匠的风险不在自身，而在和黄河的融合上，这也是我当初买黄河时第一反应就担心，但又受V们看好影响而忽略的问题。本身就是两家企业，业务风马牛不相及，刚收过来时儿子刚起步，老子会支持，风头太盛了老子就会压着。否则这企业谁是老板？谁是灵魂核心？几十年打下的江山被一个毛头小子抢去吗？关于这点有兴趣的可以去看看当初孙宏斌和柳传志恩怨情仇，当初柳创业不久，孙绝对是牛逼人物，在联想做出不少贡献，而且笼络了不少人，否则敢跟柳这么叫板，他是傻子吗？最后柳传志冲大家甩出一句：请你们搞清楚在联想谁是老板！于是乎柳想办法把孙给送进去了，为什么，难道他不知道孙是人才？（这一点从孙后来能把融创做这么大也可见一般，换成杨元庆打死他也没这个本事！）可能你会说明匠是陈俊的产业，跟上面例子不比。那好，在黄河里面，乔永远是老板，陈永远是下属，你的风头不能大过老板，大了一定会出问题，或者发展不好，或者分道扬镳。就凭黄河那乌龟速度，明匠超过他也就2年的事，到时怎么办，大家想过吗？所以投企业这方面是风险，股票很多东西是在基本面和报表之外的，走势不好的票一定有问题。此外，关于以前说过的如果明匠单独上市，都会不止100亿市值，难道黄河白送吗？当然不会，是你把估值方式搞错了！这种根本就不是1+1=2的简单问题。举个例子，复星系控股多少家公司，如果这些公司单独上市值多少钱，市场对复星的估值是这么简单累加的吗，此外中国建筑持有中海外也是一个道理。当然我不是说黄河以后一定会发展不好，但绝不像大家想的这么一帆风顺，原因就是新黄河 不= 老黄河+明匠。说这么多，懂得自然懂，不懂得也没关系。顺便提醒下某某人，不要再自作多情把自己对号入座，我没有兴趣跟你玩儿，也没有针对你什么。我所指的V也根本不是你，你也不一定配，呵呵。
1492744785000[,,,,,,]$中国建筑(SH601668)$ 聚在高位，让你无法下手 其实在此建仓是最佳的时机，观望者 在这里还在犹豫侦查。
1492743992000[,,,,,,]一带一路高峰论坛详细日程公布，市场预期再度提升。在2017 年4 月18日外交部举行的中外媒体吹风会上，王毅宣布，“一带一路”国际合作高峰论坛将于5 月14 日-15 日在北京举行，国家最高领导人将出席开幕式并主持领导人圆桌峰会。28 个国家元首和政府首脑确认将出席，还有来自110个国家的官员、学者、企业家、金融机构、媒体等各界人士确认参加论坛，与会代表总人数将超过1200 人。根据日程安排，在5 月14 日上午，将举行高峰论坛开幕式、高级别全体会议，下午将举行6 场平行主题会议;5月15 日全天安 排为领导人圆桌峰会，包括加强政策和发展战略对接、深化伙伴关系，以及推进互联互通务实合作、实现联动发展。随着大会不断临近，媒体报道频率增加，市场对于一带一路预期不断提升。　　商务部公布一季度海外订单情况，3 月单月新签合同额同增22%。据商务部通报数据显示，一季度对外承包工程完成营业额292.6 亿美元，同比下降2.8%;新签合同额429.6 亿美元，同比下降7.0%，较1-2 月上升13.6个pct(1-2 月同比下滑20.6%);3 月当月，完成营业额124.9 亿美元，同比增长8.5%，新签合同额179.2 亿美元，同比增长22.2%。　　京津冀城际铁路发展基金设立，交通建设或提速。4 月18 日，京津冀城际铁路投资有限公司与12 家金融机构签约，京津冀城际铁路发展基金正式成立，基金总规模1000 亿元，初期规模600 亿元，其中京津冀铁投公司出资60 亿元，吸引社会资金540 亿元，基金存续期为10 年，其中70%的投资可用于京津冀区域内的城际铁路建设，30%的投资可用于沿线土地综合开发。另外，4 月19 日总书记19 日考察广西时表示，“我们常说要想富先修路，在沿海地区要想富也要先建港”。双轮事件驱动下，铁路及港口等交通设施建设或提速。交通与港口首推行业绝对龙头中国交建建筑央企一季度订单趋势强劲。在海外与国内基建PPP 订单带动下，建筑央企一季度再度展现强劲的订单趋势，其中葛洲坝/中国中铁/中国铁建/中国电建/中国化学/中国建筑一季度订单分别增长42.55%/36.1%/45.96%/18.84%/91.87%/24.24%，以及中国交建设定今年订单增长23%的目标，预计今年建筑央企订单有望在去年快速增长的基础继续大幅增长，这将有望带动建筑央企未来盈利预期提升或估值提升。　　投资建议：临近五月一带一路大会，媒体报道增强，市场预期再度提升之际，板块有望再迎高潮。建筑央企今年以来订单高增长、绝对估值低、前期涨幅相对较小，有望成为市场后期配置重点。继续重点推荐中国建筑(超低估值、3 月订单数据极佳)、葛洲坝、中国交建、中国铁建、中国化学，国际工程重点推荐中工国际、北方国际、中钢国际。　　风险提示：海外经营风险、订单落地不达预期风险。
1492743887000[,,,,,,] 这波中字头的中国建筑、中国交建最近都没怎么跌，这些按说位置也不低，但是就是不跌。国家认可的概念，走的都比较强。 
1492743817000[,,,,,,]$中国建筑(SH601668)$雄安新区概念熄火了，建筑还有带路概念！
1492743424000[,,,,,,]$中国建筑(SH601668)$洗洗睡了。
1492737648000[,,,,,,]     【保监会印发关于进一步加强保险监管维护保险业稳定健康发展的通知】保监会印发《关于进一步加强保险监管维护保险业稳定健康发展的通知》（下称《通知》）。《通知》明确，强化监管力度，持续整治市场乱象。要把业务扩张激进、风险指标偏离度大的异常机构作为监管重点，在市场准入、产品审批备案、高管核准等方面进行必要的限制。要配足配强监管资源，对重点关注的公司就有无违规资金运用、股东虚假注资、公司治理失效、信息披露不实等问题实施全面清查。点评：近年不少中小保险公司通过万能险等理财产品激进扩张业务规模，这两年利率不断下行，投资收益覆盖高利率万能险等理财产品负债端成本吃力，行业蓄积了一定的风险。因此，去年以来监管层不断加大激进保险主体监管力度。本次《通知》明确提出了要从市场准入、产品审批备案、高管核准等方面进行必要的限制，预计未来资本获取保险牌照难度将加大，噱头产品将得到规范，业外人员进驻保险公司任高管考核力度将加大。【一季度快递业务收入增速4倍于GDP】国家邮政局20日发布今年一季度中国快递发展指数报告，一季度全国快递业务收入984.6亿元，同比增长27.4%，是同期国内生产总值增速的4倍。报告显示，一季度全国快递业务量75.9亿件，同比增长31.5%。点评：国家邮政局分析，快递行业开始从速度规模型向质量效益型转变，并预计二季度快递业务量将超过100亿件，快递业务收入将超过1200亿元。这意味着，快递行业仍处于一个高速发展趋势，不过快递上市公司当下估值较高，已充分反应了行业的发展前景。【尔康制药2016年净利增近七成】尔康制药（300267.SZ）2016年实现营收29.61亿元，同比增长68.62%；归属于上市公司股东的净利润10.26亿元，同比增长69.78%。公司拟每10 股派发现金红利0.2 元（含税）。点评：公司自2011年上市以来业绩平稳增长，净利在2016年首次突破10亿元大关，不过增幅较上年有所放缓。业绩增长的主因是公司加大销售力度，主要产品辅料药和成品药收入大幅增长。2016年公司投资建设的236亿粒淀粉胶囊制剂车间项目已投入使用，将成为公司新的增长点，但公司未来有必要控制好费用和成本。公司今年首秀表现较好，一季度营收和净利分别增长超50%和30%。【乐视网发致股东信】4月20日，乐视网（300104.SZ）公布了致股东信，信中称，在主动调整战略和换挡期，乐视的非上市体系正在历经“飞升之劫”，引发的舆论风波一定程度上影响到了上市公司，带来了业绩成长中的阵痛。点评：致股东信中，2017年被称为是乐视战略新阶段元年，也是乐视网的关键一年，提升上市公司的变现能力、改善公司现金流、实现全面盈利。去年乐视致新净利润亏损6亿多元，这直接导致了乐视网净利润的下滑，而根据目前乐视致新的增速，预计2017年乐视大屏成功实现扭亏为盈利，体现在业绩上，预计将为乐视网净利润增加数亿元。但是究竟是用何种方法造成盈利，还有待考证。【中国建筑一季度新订单超4000亿】中国建筑（601668.SH）披露一季度经营情况，从建筑业务来看，新签合同额合计4332亿元，同比增长24.4%；从地产业务来看，合约销售额为507亿元，同比增长50.3%。点评：作为建筑龙头，中国建筑新增订单在今年一季度继续保持了高速增长。在经济转型的背景下，基建托底经济增长的政策导向对公司构成利好，其中基础设施建设业务新签合同占一季度业务比超7成，公司同时充分享受了基建类PPP项目政策红利。节后楼市销售回暖也带动了公司一季度地产业务表现。可对这类业绩基础良好、估值较低、分红高的标的予以关注。【宏润建设联合中标重大工程】宏润建设（002062.SZ）及中国水环境集团投资有限公司、中国市政工程西北设计研究院有限公司联合体为“福州市金山片区水系统综合治理 PPP 项目”中标人。项目总投资额：14.25 亿元，年运营维护费：2,780 万元，收益率：6.39%。点评：宏润建设在市政路桥、轨道交通、地下综合管廊等基础设施建设领域有较强的的竞争优势，今年以来已承接业务超过50亿元。此次与福州市政府合作有助于公司积累水系统PPP项目施工经验。项目总投资额占16年营业收入16.2%，预期对公司未来业绩产生显著积极影响。【湖北能源去年净利润增长近21%】4月20日，湖北能源（000883.SZ）发布2016年年报，公司2016年1-12月实现营业收入93.87亿元，同比增长32.14%；归属于上市公司股东的净利润为19.09亿元，同比增长20.99%。点评：湖北能源的主营业务收入来源为水电、火电、天然气以及新能源发电业务等。其中，水电、火电业务比重居前两位。去年，受益于来水充沛，该公司水电发电量同比增幅较大。此外，其所属风电、光伏发电发电量同比增长。由此助推该公司营收实现增长。但是，湖北能源火电业务增长乏力，这也拖累了公司整体业绩的增幅。【中粮集团混改加速】近日，中粮资本投资有限公司启动公开挂牌增资，拟募资总额80亿元。其中，拟向不超过10名投资方增资60亿元。同时，其全资股东中粮集团拟以增资价格向投资方转让价值20亿元对应股权。该项目拟引入不低于募资金额50%的非国有资本或社会资本。目的为补充营运资金及下属企业增资。点评：本次中粮资本引资，是中粮集团实施混改的重要一步，关注集团旗下的上市公司如：中粮生化（000930.SZ），中粮糖业（600737.SH），中粮地产（000031.SZ）等。转自：
1492737638000[,,,,,,]$中国建筑(SH601668)$ 4月21日09:20入选#大单净流入#策略，上一交易日涨幅2.81%，大单流入金额3.02亿元，当日资金净流入排名第4。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/35
1492737280000[,,,,,,]回复: 道理没错，但真正的龙头就那么几只，巧妇难为无米之炊，何况茅台还能再翻倍么。对于稳健投资者来说，绝对应该拿住大市值龙头，因为波动率小，但你让赚惯了快钱的游资来做的话，肯定是抓住板块内的小家伙怼一把就跑，这是两种截然不同的交易风格。当然了，短线客更好的选择是先退出市场，等待属于自己的机会出现。//:回复:短线资金没那个能力炒大市值白马股票，靠资金推动的炒作方式最怕流动市值大，因此都是炒作小市值。强如姚老板的实力，如果不靠来路不明的钱，自有资金量也不足以在大市值股票上激起波澜，况且姚老板的下场证明试图炒作大市值白马股还存在极高的被监管风险。现在A股风向变了，从概念掩护下的资金推动变成了业绩支撑下的价值投资。大市值白马股诸如格力美的中国建筑的上涨是机构和散户当中一部分有点先见之明的提前建仓，并非所谓的抱团取暖。小市值白马股还会炒作一下，但是很快也会熄火。中期看，大市值白马才是王道吧。   
