1492752911000[,,,,,,]$广州发展(SH600098)$8.5有那么难吗
1492153551000[,,,,,,]$广州发展(SH600098)$ 什么时候 @杨光小雨 不说话了，此股才有可能调整完毕。
1492152592000[,,,,,,]$广州发展(SH600098)$进入，等等
1492151467000[,,,,,,]$广州发展(SH600098)$波动挺大  基本向下
1492139008000[,,,,,,]$广州发展(SH600098)$  加两成仓至5成仓
1492134761000[,,,,,,]$广州发展(SH600098)$半小时不到就将近1个亿的量。
1492066330000[,,,,,,]$广州发展(SH600098)$这么小的流通盘，动不动换手超过10%，连续半年这么大量，这是在干什么？好疑惑。
1492065797000[,,,,,,]我刚刚调整了雪球组合   的仓位。广州发展9.82（-2.87%） 清仓，果然跳空拉涨停的尾盘都不能买入。
1492047577000[,,,,,,]$广州发展(SH600098)$ 看到你又下跌我长出了一口气，请继续，机会又要来了。
1492046433000[,,,,,,]$广州发展(SH600098)$ 4月13日09:20入选#前期整理平台放量突破#策略，上一交易日成交量放大至5日均量的4.1倍，上穿震荡区间最高价9.63，突破前期横盘整理平台。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/21
1492017585000[,,,,,,]$海虹控股(SZ000503)$         10年就开始去做医保控费系统，学得是西维斯 的系统，已经在全国各地展开了，快到收获期了。但是呢？海虹控股以前是个没干出什么业绩的企业，没有资金积累来应付这么庞大的系统的资金需求。2000年海虹控股是一个超级大庄股，任何庄股背景都有一个想在二级市场捞一笔的董事长。所以海虹控股想融资的时候，也不忘了老本行的手段，配合承诺一级市场定增的融资方先在二级市场捞一笔。        所以你们看到大牛股产生，很大一段都是被人收集筹码过程。等待的是，大股东在私下承诺股价同时，还要定增融资来真正做医保控费系统最后落成工作。                 但是呢？这个涉及民生的重大工程，承诺前三年不收费，这就出大事了。如果是定增被锁三年无所谓，业绩兑现刚好出来，好歹二级市场买卖股票大捞一笔。  至少定增有几倍溢价，融资成本在二级市场就可以收回来，可是现在两颗炸弹：证监会融资新规和前三年不收费。二级市场做起来的庄，短期找不到人接盘了，融资方的动作是怎么样，大家看到了。         接连的员工持股也维护不住股价了。结局会是怎么样？         定增肯定没那么容易执行了，融资方都不愿意和你玩了。只能找新的融资方。而且，老董事就别想着玩以前坐庄的把戏了，既然花了那么多年心血搞医保控费系统，就坚持吧。新的融资方？如果不坐庄，引入战略投资方阿里是个不错选择，阿里想进入重大民生行业很久了。  之前的大资金趣闻：
1492011567000[,,,,,,]对于一个经常关注深圳和广州房地产的我来说，老毛的见解就像隔了一层纱，没有到肉的感觉。以楼主情况，如果买房是为了自住，就一定要在深圳里面靠近工作的地方买了老破小，其实在罗湖区250万可以买个50多方的两房单位。如果买房是为了投资，建议买广州市区内的上车盘，广州市区内还有很多2万多的上车盘（老破小，生活方便，有学位）。广州这几年发展的确落后深圳，但是没有相差2-3倍差距。在深圳狂涨2015年，深圳的房价是广州的3倍，当时很多人都说广州落后了，但事实证明2016年投资广州房地产是最佳选择。到现在为止，广州房产一年时间差不多涨了一倍（个人认为深圳和广州相同地段的合理价格比为3/2）。广州现在还剩下一些老破小没有涨很多，估计市场很快就会填平这个差距。其实从深圳上涨过程中可以看出，2015年热点地区和新区领先上涨，然后罗湖区老破小在2015年底到2016年中跟涨，涨幅都差不多。无论如何选择，首先应该在深圳，广州里面选择（不过这两城市限购太严格了，要有房票才行，而且广州还限卖，要有长期持有准备），如果实在不行，可以买靠近珠江两岸的湾区区域，深圳与广州就像两颗恒星一样，大家互相吸引，深圳发展一路向西（往广州方向），广州发展向东向南（往深圳方向），它们之间的引力带区域应该都是不错的区域。例如东莞长安，虎门，广州新塘，南沙等。
1492003974000[,,,,,,]《广州发展起来了》前段时间炒雄安概念，今天好像轮到粤**了，反正也忘记名称。可能广州发展也是由于这个原因上涨的吧，按照网格交易，今天减仓一笔，希望它再疯一把，达到我的目标价。
1491988419000[,,,,,,]$广州发展(SH600098)$真的，别太凶，就怕你涨，低位给哥多玩几年。去年11月开始害的哥几个月没法玩。今年需要补偿。新低等你哦。平均一个月给哥赚个一两万零花就可以拉。
1491981484000[,,,,,,]出张江高科、广州发展，首次建初灵信息观察仓。
1491980515000[,,,,,,]   2017.4.1214:58:51广州发展 买入 10.09（5.09%）越秀金控 买入 14.08（3.61%）深大通 买入 41.10（5.22%）力合股份 买入 18.74（4.11%）韶能股份 买入 8.96（7.31%）
1491978730000[,,,,,,]$广州发展(SH600098)$ 4月12日14:32入选#主力盘中连续抢筹#策略，有主力连续大单吸筹，推送时涨幅6.55%，大单买入2406428股，成交量放大至日均成交量的25.1倍。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/19
1491974394000[,,,,,,]减仓
1491971964000[,,,,,,]$广州发展(SH600098)$ 刚刚起来就下车。太好了……
1491967132000[,,,,,,]$广州发展(SH600098)$下车，下车，
1491967132000[,,,,,,]$广州发展(SH600098)$下车，下车，
1491966692000[,,,,,,]$广州发展(SH600098)$ 个个都在出货了，套了太久了  ，我也出
1491965534000[,,,,,,]$广州发展(SH600098)$ 不够力了 出5成仓 留底仓3成
1491964964000[,,,,,,]更新下粤港澳大湾区概念股。炒地图还是港口+地产+水泥，粤高速也跟涨。后两个其实是电力股，广州发展还有国企改革概念。今天放量了。
1491963761000[,,,,,,]混改电力概念走强投资关注：梅雁吉祥，广州发展，漳泽电力投资逻辑：新电改向深处推进 加速电力市场化改革落地
1491963499000[,,,,,,]$广州发展(SH600098)$股票不要多，玩死一个就够花了。持仓95100股，成本2.888，哈哈，今天这个成本不错，好兆头。
1491961532000[,,,,,,]大湾区 来吧 多拉几个  雄安没上车 这个有货 
1491961248000[,,,,,,]$广州发展(SH600098)$ 出了，哈哈哈
1491901405000[,,,,,,]$广州浪奇(SZ000523)$$广州发展(SH600098)$就看明天承接怎样
1491900518000[,,,,,,]$广州发展(SH600098)$ 又要开始套路了。。。。。
1491893055000[,,,,,,]$广州发展(SH600098)$今天发生了什么。。。
1491892721000[,,,,,,]$广州发展(SH600098)$作为小散，看着就好。
1491891168000[,,,,,,]$广州发展(SH600098)$玩你妹，还没破9，1100手有900多手都是借的钱，急着抬轿？草
1491890273000[,,,,,,]$广州发展(SH600098)$想要筹码？向下杀，几个亿就想操纵这公司股价，好好给小散打工吧。
1491882791000[,,,,,,]$广州发展(SH600098)$不杀怎么收回你砸盘的筹码，砸到10.1，跌1个月才跌9个点，玩耗时间，哥最擅长。
1491804597000[,,,,,,]$广州发展(SH600098)$ 真的坑死了
1491801802000[,,,,,,]$广州发展(SH600098)$ 破9有望，继续观察。
1491801032000[,,,,,,]$广州发展(SH600098)$ 判断错 亏出2成仓先
1491791340000[,,,,,,]$广州发展(SH600098)$逆势玩熊市阴跌。傻不拉几。
1491571526000[,,,,,,]混改，广州发展更混蛋
1491553237000[,,,,,,]$广州发展(SH600098)$3月7是发生什么事了？
1491550655000[,,,,,,]【W14小结】本周只有三个交易日上证大涨1.99%，收一根大阳线，收在今年以来的新高，形成两阳夹一阴，3300整数关口近在咫尺；神创大涨2.03%，收一根，收复上周一半的失地；深证指数大涨2.31%，收一根大阳线，一根大阳线，收在今年以来的新高，形成两阳夹一阴；本周三大指数如期放量大涨，量价齐升，预计下周继续上涨，大盘冲3300整数关口。自选股中：     上涨0.48%，本周收一根缩量的小阳线，量能继续萎缩，在周60均线下方运行，远远跑输上证指数。本券商板块大涨2.66%，也远远跑输本板块。本周如期调整结束有所企稳，但量能不足，预计下周变盘，向上的概率比较大，并有所反弹。       微涨0.36%，本周收一根缩量的小阳线，量能持续萎缩，结束5连阴，收到所有均线下方，远远跑输神创。本周并未如期作方向选择，而是选择缩量小幅调整，预计下周调有可能作方向选择，向上的概率比较大。中航动控(SZ000738)   大涨1.83%，本周收一根放量的大阳线，量能持续放大，收在周5均线上方；略跑输深指，本军工板块大涨3.03%，但远远跑输本板块。本周如期反弹，量价齐升，有拐头向上迹象，预计下周继续上涨，确定趋势向上转好。上海银行(SH601229)   下跌-0.63%，本周收一根缩量的十字假阳线，量能有所萎缩，远远跑输上证指数，本板块下跌-1.01%，但略跑赢本板块。本周并未如期方向选择，而是选择小幅缩量调整，预计下周作方向选择，向上概率比较大。          上涨1.84%，本周收一根放量的阳线，量能明显放大，收在周5均线上方，远远跑赢上证指数，本电力板块上涨2.05%，也跑赢本板块。本周如期调整结束所有反弹 ，量能也放大，是好事，预计下周继续上涨。财信发展(SZ000838)  大涨4.81%，本周收一根放量的十字阳线，量能持续放大，确有企稳迹象，远远跑赢深指，本房地产板块大涨4.47%，略跑赢本板块。本周如期调整结束有所企稳，量能也放大，预计下周继续上涨，确认趋势向上转好。广州发展(SZ0600098)  下跌-0.43%，本周收一根缩量的十字阴线，量能继续萎缩，已5连阴，处在下降通道中，远远跑输上证，已两根十字阴线是下跌中继还是结束，还有待观察。
1491543909000[,,,,,,]$广州发展(SH600098)$刚t掉北巴传媒部分盈利筹码，要不要买你呢，这价位买的有点多了，砸点下来比较好。
1491534937000[,,,,,,]$广州发展(SH600098)$550手增仓为1000手。锁仓再见。有便宜不占王八蛋，不算便宜，相对便宜吧。有根5-10点的中阴线调仓。或持仓股有大涨调仓。
1491471621000[,,,,,,]混改，广州发展更混蛋
1491443161000[,,,,,,]$广州发展(SH600098)$跌死不下车，看你能怎样
1491399841000[,,,,,,]       最近的盘面来看，指数稳定在一个区间里，跌不下去，而个股却轮翻表演，更有个股不断创新高，这是一种局部性的牛市。      当然指数维持在一定的区间，造成大部分股票也是停滞不前，属于典型的振荡行情，目前就出现了一个破局的契机，这就是雄安新区。       国务院确定雄安新区之后，恰逢放假期间，而港股却提前表现，金隅大涨35%以上。消息面不断发酵，为今天的开盘预热。今天的盘面上看，河北股票40多支涨停，指数收到3270点，距离3300的重要压力位只在一步之遥。而这个主题，估计还会持续一二天，而且也会带动大部分股票上涨。       所以股市的新高指日可待，股市的新局面指日可待！    
1491386742000[,,,,,,]$广州发展(SH600098)$3600点前控制在9.5以下，吃饱你。2000手。
1491377281000[,,,,,,] 华南地区内贸大港，泊位与疏运网络发达 位于珠江入海口，毗邻港澳，2016  年全港货物吞吐量位列全国第五、全球第六，货物吞吐量占珠三角地区的47.07%，港区以内贸货物为主，2014-2016  年内贸吞吐量占全港货物比重均在75%以上。 上市公司成立于2010  年，实际控制人为广州市国资委。从吞吐量结果上看，上市公司基本上承担了港区绝大部分业务，其货物吞吐量占全港的85.8%，集装箱吞吐量占77.7%。公司主要运营68  个泊位，其中集装箱专用泊位25  个、煤炭专用泊位4  个，油品及液体化工专用泊位5  个，其他散杂货泊位34  个，此外，公司拥有发达的水公铁空集疏运网络及配套设施。        实控人为广州市国资委，募集资金投向南沙三期建设        公司本次发行新股6.99  亿股，占发行后总股本的11.28%，计划募资16  亿元，发行后总股本为61.9  亿，前五大股东分别为集团、国投交通控股、广州发展、中远集团和上海中海码头，实控人广州国资委。募集资金将主要用于南沙港区三期项目，该项目工程投资总额为74.74  亿元，截至2016  年底，项目已完成投资比例约75%。        吞吐量增长稳健，四类收入装卸为主2014-2016  年股份货物吞吐量CAGR  为5.1%，其中占比较高的内贸货吞吐量CAGR  为5.9%，整体增长较为稳健。股份收入主要来自四大板块，分别是装卸及相关业务、物流及港口辅助业务、贸易业务和其他业务板块，装卸及相关业务对收入和毛利润贡献最大，贡献度分别为54.3%和84.4%。        宏观增速放缓叠加竞争压力，核心板块业绩略有下滑        公司装卸业务板块自2014  年开始连续两年出现下滑，2016  年股份装卸及相关业务实现收入41.38  亿元，同比降2.05%，毛利润为16.32  亿元，同比减4.43%。我们认为的收入增速主要来自贸易板块确认额的增加，而毛利和净利润的下滑更多是因为宏观经济增速放缓和华南珠三角区域的港口产能在过去几年持续增加带来的竞争压力所致。        投资建议：公司IPO  项目一方面会增加集装箱码头产能和业务量，但同时随着南沙三期码头投用，仍有引发区域港口竞争进一步加剧的可能，我们判断二级市场的“打新”热情短期将提升公司的短期市值，但结合公司在珠三角核心区域带来的增长潜力和当前A  股兄弟企业的参考估值来看，股份的合理估值介于25-30  倍之间。        风险提示：区域内港口竞争加剧；宏观经济超预期下滑 ：  
1491371495000[,,,,,,]$广州发展(SH600098)$急杀五个点保准主力收到筹码。然后压住。
1491363262000[,,,,,,]$广州发展(SH600098)$ 大盘不管怎么样，你都不管，太任性！
1491361952000[,,,,,,]$广州发展(SH600098)$下杀空间有限，两个点一档慢慢买，博个反弹。
1491360574000[,,,,,,]$广州发展(SH600098)$ 你是猪吗？大盘懂了这么多你就这样子！！猪猪猪
1491360239000[,,,,,,]$广州发展(SH600098)$ 基本上短时间没戏了
1491358752000[,,,,,,]$广州发展(SH600098)$hold住
1491358434000[,,,,,,]$广州发展(SH600098)$  初判大盘调整到位也就这周，满仓干进去先
1491291427000[,,,,,,]$广州发展(SH600098)$ 
1491178208000[,,,,,,]110000元。213786元。	：中南建设、1000股、成本：8.04元。甘肃电投、500股、成本：11.373元。广州发展、900股、成本：9.75元。华映科技、700股、成本：11.55元。华谊集团、900股、成本：12.345元。西水股份、700股、成本：16.15元。厦门信达、300股、成本：14.24元.信达地产、1100股、成本：6.23元。昆药集团、400股、成本：13.07元。 华夏活期通、144337元。：5318：215150   
1490957282000[,,,,,,]【W13小结】本周上证下跌-1.44%，收一根放量的阴线，量能持续放大，结束2连阳，跌破周5均线；神创大跌-2.94%，收一根缩量的近光头大阴线，量能有萎缩，回结束3连了，吞噬前三周的涨幅；深证指数下跌-2.05%，收一根缩量的大阴线，量能有所萎缩，结束3连阳，吞噬前三周涨幅；本周三大指数上证放量大幅调整，深缩量大幅调整，预计下周调整结束有望企稳。自选股中：    大跌-3.05%，本周收一根缩量的大阴线，量能有所萎缩，跌破周60均线，有形成M顶的态势，再创近半年多的新低，远远跑输上证指数。本券商板块大跌-3.11%，略跑赢本板块。本周并未如期调整结有所反弹，而是继续选择大幅缩量调整，预计下周调整结束有所企稳。      下跌-1.69%，本周收一根缩量的阴线，量能持续萎缩，已5连阴，收到所有均线下方，略跑赢神创。本周并未如期调整结束有所反弹 ，而是继续选择缩量大幅调整，预计下周调有可能作方向选择，向上的概率比较大。中航动控(SZ000738)   微涨0.24%，本周收一根放量的阴线，量能有所放大，收在所有均线下方，结束5连阴；远远跑赢深指，本军工板块大跌-2.94%，也远远跑赢本板块。本周如期调整结束有所反弹，预计下周变盘，向上的概率比较大，并有所反弹。上海银行(SH601229)   上涨0.46%，本周收一根放量的小十字阳线，量能有所放大，跑赢上证指数，本板块上涨1.50%，但跑输本板块。本周如期调整结束有所反弹，量能也放大，预计下周作方向选择，向上概率比较大。          上涨1.24%，本周收一根放量的阳线，量能明显放大，收在周5均线上方，远远跑赢上证指数，本电力板块上涨0.76%，也跑赢本板块。本周如期调整结束所有反弹 ，量能也放大，是好事，预计下周继续上涨。财信发展(SZ000838)  大跌-6.96%，本周收一根放量的大阴线，量能有所放大，确认跌破平台下方，远远跑输深指，本房地产板块大跌-3.49%，也远完跑输本板块。本周并未如期反弹 ，而是继续选择放量大幅调整，预计下周调整结束，有所企稳。广州发展(SZ0600098)  下跌-0.84%，本周收一根缩量的十字阴线，量能继续萎缩，已4连阴，处在下降通道中，略跑赢上证，这根十字阴线是下跌中继还是结束，还有待观察。
1490954021000[,,,,,,]【广州发展】来气继续谈判燃气集团目前与沃德福就《框架协议》锁定期延期事宜达成一致，拟于2017年4月中旬签署《关于2016年5月9日框架协议的修订案（修订案一）》，将《框架协议》中的锁定期延长至2017年12月31日或双方书面同意的其它更晚日期
1490944223000[,,,,,,]$广州发展(SH600098)$3月跌2块。一年涨4块，一月跌2块，不错。仓位多了不到一倍。破9加满一倍仓位。今年年底前填掉11.41的阴线即可。只因看好大盘会有大行情。判断错误认输，吃分红等下轮牛市。
1490941071000[,,,,,,]$广州发展(SH600098)$不杀就没得玩，应该要无聊好一阵子了。只收砸盘筹码。
1490924479000[,,,,,,]$广州发展(SH600098)$ 大型织布机。。。
1490889693000[,,,,,,]笑到最后的一定是广州发展 不是其他港口的持股
1490888690000[,,,,,,]广州发展准确逃跑
1490884176000[,,,,,,]广州发展不见19元，不卖。哈哈。这么好的股票，
1490875644000[,,,,,,]广州发展每天一曰。
1490872132000[,,,,,,]大唐发电涨停了，人家四百多亿流通盘，广州发展
1490871852000[,,,,,,]混改，广州发展更混蛋
1490862826000[,,,,,,]$广州发展(SH600098)$ 等待破9，即便破9也要观察，必须要掌握住庄家心理才能玩。
1490854006000[,,,,,,]$广州发展(SH600098)$他妈的。
1490851436000[,,,,,,]$广州发展(SH600098)$破9，来。
1490850650000[,,,,,,]$广州发展(SH600098)$ 加仓至7成
1490840920000[,,,,,,]$广州发展(SH600098)$你倒是一点都不恐慌
1490836761000[,,,,,,]$广州发展(SH600098)$ 该卖了，该买了。 
1490765587000[,,,,,,]$广州发展(SH600098)$杀杀杀
1490765446000[,,,,,,]$广州发展(SH600098)$这种时候还不杀，等什么。
1490757990000[,,,,,,]经济观察网 记者 郑淯心一、聚石化学拟A股上市新三板企业聚石化学已于2017年3月向广东证监局报送了IPO上市辅导备案登记材料。目前，公司正在接受中泰证券的辅导。聚石化学成立于2007年，公司主要从事无卤环保型阻燃剂和阻燃塑料及其他阻燃材料的研发、生产、销售。2016年上半年，公司实现营收3.66亿元，实现归属于挂牌公司股东的净利润3600.78万元，同比增长246%。二、360进入IPO辅导期天津证监局消息，华泰联合证券已于3月23日与三六零科技股份有限公司签订首次公开发行并上市辅导协议。公告信息显示，华泰联合于3月23日与三六零科技股份有限公司签订首次公开发行并上市辅导协议，后者的实际控制人为周鸿祎，私有化后的控股股东是天津奇信志成科技有限公司，注册地在天津滨海高新区。工商注册资料显示，公司在2017年3月21日工商资料变更，“天津奇思科技有限公司”更名为“三六零科技股份有限公司”，注册资本由5617.67万元增加至200000万元。三、新水源被否证监会3月28日消息，金陵体育、超频三、正元智慧、万通智控、太龙照明、杭州园林、建科院、星云电子等8家公司首发申请获准，新水源景首发申请被否。新水源主营业务为在自主研发的水资源管理信息化软件为核心的基础上，集成各种物联网传感设施，向客户提供水资源管理信息化综合解决方案。主要提供农业节水灌溉管理系统、水资源监控与管理系统和智慧农业管理系统，2016年实现营收1.4亿元，净利润2524万元。招股说明书披露，新水源2016年度的收入为14117万元，截至2016年底，新水源的固定资产原值却只有为273万元，其中机器设备43.78万元。新水源上市准备募集资金项目包括：新一代农业用水智能管理系统升级项目，投资总额19837万元，其中建筑工程费用3700万元、设备购置费用1775万元、实施费用5230万元（包括专家咨询及合作费400万元、技术培训费250万元）、办事处费用5000万元（包括办公经费及市场开拓费）。新水源称，项目达产后年均增加营业收入12600万元，年均增加净利润为4990元。发审委员询问募集资金实施前后，固定资产中的机器设备与收入的配比关系，并说明测算依据和实施的可能性。并且，由于新水源的固定资产较少，发审委员要求说明这些固定资产是否足够进行产品的生产。申报材料显示，新水源曾承包“2016年怀柔区农业灌溉机井智能化计量建设工程”（包括其中的土建工程）并签署相关合同（合同编号：HRSW-SG16009）。发审委员询问具有相关工程资质、是否符合依法与所招用的农民工建立劳动合同等。发审委还询问一次性实施验收项目和分部实施分部验收项目收入等情况。四、广州港登陆主板3月29日，利群股份、星帅尔、实丰文化申购，广州港登陆主板。广州港股份成立于2010年，由广州港集团、国投交通控股、广州发展共同发起设立；2014年5月，引进中远集团、上海中海码头作为战略投资者，由广州港集团控股。据公开资料，截至2017年2月，广州港股份运营泊位68个（另有配套驳船泊位54个），其中集装箱专用泊位23个、煤炭专用泊位4个，油品及液体化工专用泊位5个，其他散杂货泊位36个；拥有拖轮船队、穿梭巴士船队以及连接内陆腹地的港口专用铁路；拥有80条外贸航线。
1490755886000[,,,,,,]$广州发展(SH600098)$ 广州港上上上
1490752301000[,,,,,,]$广州发展(SH600098)$该爆发了吧
1490738249000[,,,,,,]$广州发展(SH600098)$电价实际上涨价了，还是有意识的
1490687990000[,,,,,,]$广州发展(SH600098)$ 难得哦居然也会涨
1490682652000[,,,,,,]每日一割，其实没怎么亏。还是广州发展乱玩亏了5个点，手欠。
1490682583000[,,,,,,]$广州发展(SH600098)$盘面钱真多，做空做上瘾了
1490674797000[,,,,,,]$广州发展(SH600098)$9块区域不出售任何筹码，随你玩。
1490671709000[,,,,,,]$广州发展(SH600098)$ 到底是朱莉解放柚子还是柚子解放朱莉？
1490669619000[,,,,,,]$广州发展(SH600098)$ 广州港明日上市，广州发展淡定不涨。
1490581674000[,,,,,,]$广州发展(SH600098)$虽说目前持仓你占一半以上了，但仍然希望你杀杀杀
